,date,content,n_repost,n_like,n_comment,id,city,influency
55075,2024-01-01,新年快乐！！越来越好！！ ​​​,1000000,621191,290488,摩登兄弟刘宇宁, 中国澳门,1911679
10051,2024-01-01,新年快乐！！！ ​​​,1000000,356971,181511,摩登兄弟刘宇宁, 中国澳门,1538482
4205,2024-01-01,"#2024年第一条微博# 
新年快乐啊！！！
其实我们都真的好厉害好厉害了！！
又走过了一年诶！中途一定遇到过很多不开心的时刻或者烦恼的事！对不对？但是！我们一直都在继续往前走！
辛苦咯！你真的很棒的！谢谢你啦！
来年希望万事顺遂，平安健康喜乐！！
新年快乐！！！明年天天都好好的！！！ ​​​",761284,432780,84725,卡布叻_周深, 中国澳门,1278789
62212,2024-01-01,"连续彩排加上昨天正式演出后着实有些累了，但听到大家的声音真的真的很开心，希望新的一年我们可以常常见面，就这样分享着、陪伴着。Lots of love!
#你好2024##微博跨年狂欢节# ​​​",611973,134173,19542,李宇春, 中国澳门,765688
9281,2024-01-01,"我的2023杀青了
#曾舜晞[超话]##江苏卫视跨年# ​​​",314409,216618,82471,曾舜晞Joseph, 中国澳门,613498
30451,2024-01-01,嗯？ ​​​,13552,317088,59342,Hahhhnxsm, 中国澳门,389982
19677,2024-01-01,新年快乐 承蒙关照 ​​​,61800,196161,37375,薛之谦, 中国澳门,295336
1147,2024-01-01,"2023，与君关山遇。
2024，恰似故人归。
@摩登兄弟刘宇宁 对宁远舟说，新岁安康；对每一个『你』说，元旦快乐！ ​​​",46545,40490,10937,刘宇宁LYN工作室, 中国澳门,97972
88838,2024-01-01,元旦快乐！快来查收小鞠@鞠婧祎 的 《青花瓷》舞台直拍，开启一整年的好心情吧～ http://t.cn/A6luNtba ​​​,7830,67936,9208,鞠婧祎个人工作室, 中国澳门,84974
2359,2024-01-30,#什么时候看到赵磊的龙能不笑啊#  铛铛铛我带着“鲶鱼系长相”的大龙面塑来咯，眼距高、中庭长，有福气的嘞！2月2日18点30，网晚开新局和你开“新”过小年~ http://t.cn/A6jOxvaT ​​​,20425,34044,10459,X玖少年团赵磊, 中国澳门,64928
