,content,city,date,id,n_repost,n_comment,n_like,influency
16275,"#重新去发现世界# 开启自驾环球旅行第一站，东莞西溪古村。

离开梧桐山后，刚好周达夫也在东莞，刚好路过，就来探访，有一直想来看看西溪古村，晚上来得比较晚，又逢周一，过年后的人潮退去，月醉西溪的夜晚很浪漫，和三更同学在这里唱KTV到深夜。

昨晚在月醉西溪唱完KTV，就住在《旧你最好民宿》，这家民宿获得东莞最美民宿，在西溪古村里龙眼树下，红砖青瓦中老屋改造，每一间客房用歌词命名，隐匿在古村里，能留住乡愁，又有浪漫的气息。旅人的心，在此停泊。

老屋，红砖，青瓦，有温度的咖啡馆，穿过巷弄，寻找到墨礼咖啡，从深圳搬过来的咖啡馆，自己烘豆，一个人打理，需要定力和内心的丰盈，不拉花的咖啡师，喝了拿铁和肯尼亚手串，味道很温和，就聊聊天，我吹了两下口琴，老板老湖就当场下单买了口琴，看来也是性情中人。探访不同咖啡馆的老板，也是一件有趣的事情。

西溪古村，值得满满探索，也更希望有更多的情怀小店，不为房租发愁，也不求大富大贵。

#彩礼不超3.9万子女可优先入学# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 东莞·西溪古村",东莞市,2024-02-27,菜尾蝗-旅行摄影,57,63,0.0,120.0
24536,看笑了 ​​,东莞市,2024-02-28,甜瓜小井,2,57,0.0,59.0
14968,收到@深圳图书馆 的奖品啦！好开心(｢･ω･)｢嘿，最近很难，感谢让我相信自己也是有些小运气的[爱你] ​​,东莞市,2024-02-27,无舞晤,13,8,0.0,21.0
27233,"#南北cp[超话]#
窝滴哥
你们猎人是真的勇啊
感觉猎人都在磕南北，那是不是可以努力把他俩赶到一个床底下了[doge][doge][doge] ​​",东莞市,2024-02-29,一只迷路的蓝莓,0,19,0.0,19.0
19269,"#白敬亭[超话]#

小饼干前段时间辛苦了，但外面阴云未散风雨还在，看看良言建议，我们绝对不能再躺回去了！

接下来还会每天叫大家一起来冲热播期集均和长尾，这一切都只是因为南来北往、汪新和白敬亭值得，小饼干难道舍得这样一部好作品只停留在现在成绩里吗？不想他被更多人看到吗？
我们继续团结起来吧，像前几天那样的士气！像前几天那样的一心！像前几天那样的打不倒！就只要能给他最好的更高的一切就都值得了！

所以全体小饼干们跟着一起走：
首先，每日必做刷bfl，能有的设备和账号都全部开着，一遍遍地刷南来北往1-39集：
要点：不倍速、音量不低于15%、不拖拽、刷完一轮删除播放记录继续刷！

然后，大力安利南来北往和汪新，一定抓准正能量主线，不要被潶带歪。线上线下能推荐能安利的都别放过！除了自己主动发帖安利，看到有人安利的多支持多互动多热帖，别冷帖！

最后，安利的最好方法是挖细节，南来北往细节丰富饱满情感丰富，值得细细品味，大家多挖细节全平台发送既然留剧粉又能能吸引更多观众进来！还能促进长尾效应！

其他的一些枝节任务会根据情况号召！但以上三件每个小饼干都要养成意识！每天必做！一定要做！不做不是小饼干！有群的每日群打咔完成任务，既然一起经过风暴，我们在一起别再放开手了。 

（我厚着脸皮在所有我在的鸽群都发了这条，因为我们绝不能再躺回去，要做的3个最重要的任务每天继续打咔，为了我们自己信任他的坚守更为了他受的折辱，别再轻易撒手了）",东莞市,2024-02-28,红炉绿雪,2,16,0.0,18.0
2864,《新春第一会！广东省高质量发展大会18日召开》有事搜一搜，没事看一看http://t.cn/A6YaoPZS #高质量发展广东站C位#、#读懂高质量发展就读懂了新广东# ​​,东莞市,2024-02-18,小能纪实,11,4,0.0,15.0
16936,#广东专插本[超话]# 各位本科生们，会计到底要怎么复习啊，会计分录看得我嘎嘎头疼，或者有没有什么会计分录刷题的渠道[泪][泪][泪][泪] ​​,东莞市,2024-02-27,pcyyyyt,0,13,0.0,13.0
968,《2.18高质量发展大会直播链接》有事搜一搜，没事看一看http://t.cn/A6YaovGv #高质量发展广东站C位#、#读懂高质量发展就读懂了新广东# ​​,东莞市,2024-02-18,小能纪实,10,3,0.0,13.0
2835,《黄坤明同志在广东省高质量发展大会上的讲话实录（2024）》有事搜一搜，没事看一看http://t.cn/A6YaobKI #高质量发展广东站C位#、#读懂高质量发展就读懂了新广东# ​​,东莞市,2024-02-18,小能纪实,10,2,0.0,12.0
10578,"比亚迪秦价格来到了7.98w
要卷死多少同行[哆啦A梦吃惊] ​​",东莞市,2024-02-22,南风静雨不知殊,1,10,0.0,11.0
