,content,city,date,id,n_repost,n_comment,n_like,influency
23955,"#王栎鑫[超话]# [锦鲤附体] #向全世界安利王栎鑫# 
我滴乖乖( •︠ˍ•︡ ）哟
捡到一个🈚遮挡的乖宝
懵懵地溜边被工作人员遮住出场 
接下来就是 你的小可爱突然出现[比耶]
Cr🍠水印 http://t.cn/A6Yjs3uR",佛山市,2024-02-28,宇宙无敌大晴天,88,106,0.0,194.0
15090,"人生路漫漫，有时候摸不着头脑，有时候不知所以然，有时候迷茫无措，有时候心灰意冷……

其实，人生缓缓，自有答案。

慢慢来，即便此时的结果不是自己想要的，但是，最后一定会有一个欣慰的答案，慢慢的，就会明白，并不是所有的努力付出都可以达到心里的预期。

让我们拒绝焦虑，拒绝内耗，拒绝自卑，主动迎接美好，主动相信美好，主动创造美好，成为生活的主人，成为乐观阔达的人。

如果此时想不通，那就不要想了，静坐花海，等待答案之门开启吧。 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 佛山",佛山市,2024-02-27,宇德峰贸易,0,33,0.0,33.0
15357,幸福是无数个瞬间的总和‧₊˚⋆♡ ​​,佛山市,2024-02-27,多肉芭乐葡-,0,24,0.0,24.0
17871,假如时光倒流 ​​,佛山市,2024-02-27,扶摇直上龙龙美,1,19,0.0,20.0
14310,"#JUN文俊辉[超话]# 🐱#文俊辉成为i游深圳旅游推荐官# 

或许就是爱，在描绘未来，我们总在彼此依赖，会将孤独覆盖💫——@文俊辉 《fall in love》 ​​",佛山市,2024-02-26,mgcmgcmgc,0,18,0.0,18.0
16283,"#nct西珍妮[超话]# 蹲梦秀三香港场搭子
两场都看（未确定）
本人担娜 磕笃 独立房
因为工作原因需要15号下午出发，想找一个广东可以一起出发最好，不是广东也可以，会粤语，酒店还没定可以拼房住市区也可以 ​​",佛山市,2024-02-27,颗颗西瓜,0,8,0.0,8.0
29414,"这个属天斩煞么？

不要见风即雨，这个不属天斩煞的，图二才属天斩煞。 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 佛山·金盈绿岛国际中心",佛山市,2024-02-29,陳緯宸,2,5,0.0,7.0
18397,"本人特种兵的一天[加油]
3:30起床
4:20出发
7:50的航班延误到9:15🛫
14:00吃完午饭开始步行
19:30吃上晚餐
20:30继续逛街
23:00拉练结束 ​​",佛山市,2024-02-28,山顶养乐多,0,6,0.0,6.0
14607,"广州学习一天，发现对面是华工。
没忍住喝了两杯拿铁，手不带抖，就是有点晕[晕] ​​",佛山市,2024-02-27,vemtie加油呀,0,6,0.0,6.0
31991,"离职时间已确定
离职礼物已下单
未来可期🫡🫰 ​​",佛山市,2024-02-29,西柚顽,0,6,0.0,6.0
