,content,city,date,id,n_repost,n_comment,n_like,influency
29367,女人们，知道大家爱看《种地吧》，消息已经收到。@种地吧 #用洁柔当霸总# #洁柔# ​​,广州市,2024-02-29,洁柔,293,1853,0.0,2146.0
22851,"#王源[超话]#/#王源看我们如何相遇VLOG# 
王源全国同款打咔合集
惠州👉🏻http://t.cn/A6Y0k6Nj
北京👉🏻http://t.cn/A6YYakzh
重庆👉🏻http://t.cn/A6YYolLd 
持续更新……",广州市,2024-02-28,831源眼泪,1214,459,0.0,1673.0
31577,"女继承者们的时代[赞][赞][赞] 

过去是“子承父业”，但今天女人也要一席之地。",广州市,2024-02-29,姐妹撒泼指北,837,161,0.0,998.0
23433,"[围观]
你好，你晚上好，最近累不累呀，你上班/上课辛苦了

[老板好]
如果你觉得某件必须完成的任务让自己身心俱疲，那你就要对自己大好特好，给自己买喜欢的小礼物，让自己开心一下🫂

💤
呼呼睡大觉对你来说是一种奖励，你睡上一天也OK[龙卷风]

[蜘蛛侠]
我和你说个事情，我打脸啦好兄弟，前几天不是说好那件棘手的任务别给我做嘛，可第二天老板又来找我了[泪]，我到今天都没有完成（我没有偷懒，我放下很多事情去做这个任务，但我总是遇到各种各样的难题，太耗我时间和精力了）

✍🏻
记他们一次大过，累积三次我就辞职去珠海

[你好]
姐姐从复工开始就很忙，昨天终于有空给我打了电话，我很开心，聊了很久

每次大晚上和姐姐打电话，我都问她能不能不要挂哈哈哈哈因为我想睡觉，她挂了我就睡不着

[蜘蛛侠]
好咯这几天气温有些低，你们多穿衣服呀，要多喝热水（不是直男）",广州市,2024-02-28,肖什么Q,0,403,0.0,403.0
6429,"【广东领航全国，再掀高质量发展浪潮】

在全国上下深入贯彻新发展理念、构建新发展格局的大背景下，广东于2月18日召开了全省高质量发展大会。这不仅是一次广东自身发展的重要会议，更是站在全国视角，对推动中国整体高质量发展的积极贡献。

广东省作为中国的南大门，历来是我国改革开放的先行示范区。此次大会的召开，无疑为全国其他地区提供了可借鉴、可复制的发展经验。在大会上，广东省委书记黄坤明发表了重要讲话，为广东乃至全国的高质量发展指明了方向、注入了动力。

黄坤明同志强调，广东省要坚定不移地走高质量发展之路，以创新驱动为核心，加快构建现代化经济体系。他特别指出，广东要在科技创新上取得更大突破，打造“基础研究+技术攻关+成果转化+科技金融+人才支撑”的全过程创新生态链，为全国乃至全球的创新发展贡献广东智慧和力量。

黄坤明同志的讲话不仅展现了广东在高质量发展上的决心和担当，更为全国其他地区树立了可望可及的目标和榜样。他的话语中透露出对广东未来的无限期许和对全国高质量发展的深切关怀，让人倍感振奋和鼓舞。

此次大会的召开，更是为全国其他地区提供了学习和交流的平台。来自政府、科技、教育、企业的各界代表，围绕推动高质量发展这一主题展开深入讨论，这不仅是一次思想的碰撞，更是一次智慧的交融。这些代表的意见和建议，将为全国其他地区提供宝贵的参考和启示。

同时，广东省在推动高质量发展上的决心和行动，也为全国其他地区注入了信心和动力。广东正在以实际行动诠释高质量发展的内涵和要求，为全国其他地区树立了榜样和示范。我们有理由相信，在全国上下的共同努力下，中国的高质量发展之路必将越走越宽广。

总之，2024年广东省高质量发展大会的召开，不仅是广东自身发展的一次重要会议，更是站在全国视角，对推动中国整体高质量发展的积极贡献。广东的高质量发展，是对全国高质量发展战略的生动实践，也是对中国经济未来发展路径的有力探索。广东的每一次跃升，都是对中国经济高质量发展的有力推动。广东的经验和做法，将为全国其他地区提供宝贵的参考和借鉴，共同推动中国高质量发展迈上新台阶。让我们期待，广东在新的发展阶段，能够继续发扬敢为人先、勇立潮头的精神，为全国高质量发展贡献更多广东智慧、广东方案、广东力量!（张军文）

#高质量发展广东站c位##读懂高质量发展就读懂了新广东##广东人搞发展有多拼##高质量发展粤来粤好#",广州市,2024-02-18,张军文,126,210,0.0,336.0
17674,"#张远[超话]##张远新歌分享会# 🐦#与张远一起找寻爱#  🍟张远新歌分享会深圳站应援公告

小薯已备好:
💌明信片300张
🤍主题贴纸200张
🛍️手提袋300个 (视物流情况而定，如无法到达将会在珠海站派发)

领取条件:
1️⃣持有新歌分享会🎫/专辑购买记录
2️⃣关注@张远Bird  @张远工作室  @张远Bird丨华南薯条供给码头 

应援发放时间和地点见评论区更新

[羞嗒嗒]🧱🍎中抽一位ybjj赠深圳站全套应援，再抽一位ybjj送海口站置景应援中的谜底书签一组(车马自理)

感谢明信片授权@一树的鸟 
感谢预览图设计@Lune_染柒 http://t.cn/A6YjvMJn",广州市,2024-02-27,张远Bird丨华南薯条供给码头,112,199,0.0,311.0
12167,"#比亚迪宣布奖励车主20万元#今天热搜上的新闻关注度特别高，某个车主在高架桥停车殴打伤人，性质非常恶劣，引起挺大的反响，不过好在有这位比亚迪车主出面劝架，才避免事态升级，真心为这位车主点赞。

随后这位车主也被采访，原来他是杭州的一位律师，孙子见先生。孙子见先生表示，当时事发突然，他只想制止此事，其他的也没有考虑太多，他既然是遇到这件事了，就应该去管一管。而且事发地在高架桥上，他也担心会有更严重的事故发生，在阻止时对宾利车车主说：我其实救的是你们两个人。

这则新闻后，比亚迪迅速联系了该车主，并对他的英勇行为给予了高度重视和认可。对于这位勇敢的比亚迪车主，比亚迪公司给予了高度的认可和奖励。不仅为车主提供了终身免费维修保养的权益，还给予了20万元的奖金。这一举动不仅彰显了比亚迪的大格局和快速响应，同时也展现了企业对正义的支持和认可。比亚迪始终不忘承担社会责任与大爱，能在第一时间站出来鼓励车主弘扬正能量的做法确实值得我们点赞。

通过这件事上可以体现出，在这个社会正能量传递的过程中，我们看到了个体的力量，更看到了企业的担当。比亚迪公司正在考虑设立“比亚迪车主正能量及见义勇为奖”，旨在奖励那些在助人为乐、见义勇为方面表现突出的车主。这一举措将进一步激励更多车主积极参与到社会公益事业中，引导广大市民树立正确的价值观和道德观。当越来越多的人以孙子见为榜样，勇于担当、敢于作为，社会自然会更加和谐美好。",广州市,2024-02-25,莫梓涵Axy_,79,170,0.0,249.0
9701,"吉利副总裁隔空喊话比亚迪不要赔本赚吆喝，比亚迪不能只盯着新能源的渗透率，如果新能源只是赔本赚吆喝，不是好现象，何来的高质量发展！

你们怎么看？？ ​​",广州市,2024-02-20,数码科技大爆炸VVV,10,194,0.0,204.0
23057,"#张远新歌分享会深圳站#🐦#张远新歌分享会# 
又来上张远老师音乐课了[音乐]
来学新歌《1104梦》啦~@张远Bird http://t.cn/A6YYg1LL",广州市,2024-02-28,又想吃薯条了,103,91,0.0,194.0
12196,"#邓为自有银河# DW#邓为0226生日快乐# 

生💎日💎倒💎数💎企💎划
【点击下方🔗预约起来吧[打call]】

💎各位邓为的小女孩们💎
✨为了庆祝我们的大男孩29岁生日
🙋🏻‍♀️由@邓为D_广式甜钻 发起的“五城联合·生日倒数计划”活动
🌹得到【北京】、【上海】、【广州】、【重庆】、【山东】五大城市钻石💎积极响应✨
🕰️将于今晚11点整在微博开启倒数直播，诚邀钻石们莅临直播间一起见证这激动人心的时刻！

📣活動主要内容📣
1.【邓为知多少？】快问快答
2.【邓为表白墙】[打call][打call][打call]
[心]想参与表白墙的钻石宝宝们，可在@邓为的四件套 @邓为重庆粉丝会 @邓为D_广式甜钻 上海唯钻@黄大静COCO 北京京钻@邓为为的小猫猫 活动公告博文下方评论区，发布表白内容不超过140字，「截止至25日18时整」，将会选择5个幸运儿分享钻石与邓为的故事~
3.【生日倒数】10.9.8.7.6.5.4.3.2.1！邓为！生日快乐！齐唱生日歌！

🎂钻石们在线上一起迎接为为生日的到来！开启狂欢吧~

💜幸运小女孩💎
1.【邓为知多少】评论区抢答成功宝宝可以获得定制应援小礼物！共17件！[赢牛奶][赢牛奶][赢牛奶]
2.【邓为表白墙】抽中的宝宝可私信@邓为的四件套 获定制应援小礼物！[赢牛奶][赢牛奶][赢牛奶]

🎥直播时间：2024年2月25日23时-26日0时30分
🧣直播平台：微博@邓为的四件套 

@邓为D @邓为工作室 
@邓为重庆粉丝会 @邓为D_广式甜钻 
上海唯钻@黄大静COCO 
北京京钻@邓为为的小猫猫 

http://t.cn/A6YO2PvD http://t.cn/A6YO2Pvr http://mapi/008jISvLly1hn53u8axaej33la2oykjn",广州市,2024-02-25,mu龄子,10,171,0.0,181.0
