,content,city,date,id,n_repost,n_comment,n_like,influency
13522,"哈哈，#克来机电 sh603960[股票]#天天涨停我赚钱如印钞[笑cry]

#见义勇为律师称比亚迪20万奖励先还房贷# ​​",惠州市,2024-02-26,00后最强作手,48,14,0.0,62.0
12934,🔹CHASER FEST广州站🔹日本人气视觉系Rides In ReVellion⚡️马来西亚覆盖着神秘学面纱的死亡金属Purbawara⚡️技术极强的现场代表@Horror_Of_Pestilence ⚡️首张全长入选MetalSucks2023最佳专辑的@Human_Instrumentality_Project 🔗3月17日 @MAOLivehouse广州太古仓店 现场见！🎫票务见评 ​​,惠州市,2024-02-26,逐鹿唱片ChaserRecords,29,12,0.0,41.0
14604,点赞签到贴：炒股长期复利最重要的是什么？是躲开危险，然后才是抓高确定大好机遇。我的躲开危险体系能力和抓住高确定大好机遇体系能力都极其强大，所以我的长期复利极佳#杨沐龙v+##妖王##克来机电 sh603960[股票]##沈月算命# ​​,惠州市,2024-02-27,极强杨沐龙,14,21,0.0,35.0
11146,十一巷信也是爆改了 ​​,惠州市,2024-02-24,十一巷信,0,26,0.0,26.0
13394,"新周早❤️
前几天的存图 这两天广东也降温了，实际穿了一件黑大衣 想再过过冬天的瘾",惠州市,2024-02-26,小瑶家的大瑶,0,25,0.0,25.0
12411,"#成毅粉丝#cy#成毅粉丝人美心善# 
怎么还有人cue粉丝呀，咋了？已经火到粉丝都分分钟上热搜吗？，这么喜欢那我就开始安利了[打call] ​​",惠州市,2024-02-25,馨的魔法屋,6,19,0.0,25.0
13845,"#时代少年团周边中转站[超话]# 
避雷挂店铺：🏠睡醒最重要‼️‼️‼️
 有没有在她家买过东西的，合理的怀疑商家卷钱跑路了，🏠虚拟发货了订单已完成，群里信息不回，已经很多人挂她了，🏠评论区也一大堆人没收到东西！现在装亖不回信息，抖音也不回，之前说后续会在dy上出实图也没有。",惠州市,2024-02-26,请叫我脆爷_,0,15,0.0,15.0
11354,"和朋友去一个陌生的城市旅游，租了辆车朋友开着。天灰蒙蒙的，下着小雪。

这地方路实在是太差了，下了雪又化了之后，全是烂泥，又冻上了，很难控制方向。

偏偏还有很多摊贩和小货车在马路中间摆摊，朋友躲来躲去，右侧照后镜挂到了路边一个黑哥哥的屁股，对方摔了一跤。

我提醒他，但朋友顾不上注意，车已经顺着被压出来的冰辙槽一路往前滑了，没多久就滑进了一个向右的转弯。

转过来一看，是一个长长的下坡，坡度不算陡，但路上全是冰，根本没法走，感觉一定会出事。

我就下车，打算指挥朋友倒车回去。结果我刚下来，车就打滑开始下坡了，朋友根本刹不住。一回头，刚被撞倒的黑哥哥居然追上来了，从裤兜里掏出枪就开始扫，把我打死了。

在副驾上惊醒，又是坡顶，我也不下车了，干脆直接倒车吧。黑哥哥又出现了，正好被车屁股一下撞死在泥墙上。他下半身都撞碎了，上半身还在胡乱开枪，一枪又把我打死了……

在副驾上惊醒，又是坡顶，我一边让朋友赶紧倒车，一边从副驾手套盒里也摸出一把手枪。朋友刚把黑哥哥夹在车和泥墙中间，我就爬到后座去打开车门朝对方补枪，总算把黑哥哥弄死了。

结果这枪的回火很猛，火药居然顺着我的胳膊一路引燃了铺在车座上的摇粒绒椅套。车里着火了，我和朋友赶紧扑火，来回摇晃，动静太大，又开始滑车了，一路下坡，特别丝滑，根本刹不住。还好，一路下坡都没人，也就没撞到人。

车一路滑过了我们住的酒店，继续往下滑，滑到了一片工业区。工厂似乎都废弃了，里面没人的样子。

车终于停住了，轮胎完全废了，我和朋友下车，打算步行爬坡走回酒店。空气里弥漫着奇怪的味道，有点香，但稍微用力呼吸就会呛到咳嗽。朋友说可能是什么芳香烃，八成有毒。

天气也不冷了，突然变得很热。工厂院墙旁边的巷子口，一个白人警察正骑在自行车上？持枪和暗处的什么东西对峙。突然，白人开枪了，左轮枪撞针打火的位置喷出火星来，直接引燃了空气里的油，他开枪的同时就相当于自焚了。

自焚的白人不仅没惨叫，还非常冷静地回头看我俩，很快这个白人就平静地烧成了黑人。吓得我和朋友拔腿就跑，巷子暗处好像有什么黏稠的黑色液体在流淌。

路两边似乎全是工厂的宿舍区，听到四处都有人在开枪，影子里全是自焚的人形。我和朋友使劲爬坡，突然觉得脚下一空，不知道什么时候，整个世界都变成了废弃的工业区。

天完全黑了，飘落的不再是雪，而是炉灰和钢渣。脚下不再是冰冻的公路，成了锈迹斑斑的镂空铁网，视线能穿过地面，一直向下看到空气中的火星铁渣掉进无底深渊里。

背后的废弃工厂似乎又开始工作了，传来巨大的声响，像是炼钢炉开炉的动静，整片天空都被染红了。

铁皮和铁网形成的路断了，我和朋友站在边缘不知道怎么办。身后散热的狂风从工厂里吹出来，差点把我俩吹进深渊里。

我俩赶紧死死趴在工厂宿舍楼侧面的防盗铁栅栏上，用手抓紧铁栏杆，搓了两手锈。这时却意外发现窗户后面房间里，有4只颜色特别鲜艳的小猫。

两只大一些的小猫，似乎是父母，它们从破窗户里爬到窗沿着，想要从窗台上跳到马路上去。里面两只小一点的不敢出来，张嘴发出咝咝的蛇一样的声音。

朋友想要伸手去帮忙，我突然意识到这不是猫，而是食肉的猞猁，想劝阻他。可我还没来得及出声，那两只大一点的猞猁似乎看出了我的想法，也冲我发出咝咝的叫声。它们全身的毛都竖起来了，眩目的亮色还在轻轻抖动，像两块刚出炉的铁。

不知道是铁皮地面在下降，还是我们抓着的这座宿舍楼在上升，原本我俩挂在一楼防盗铁丝窗上，现在一转眼我俩趴着的地方已经是三楼了。热风停了，必须得先回到地面上。

我正想着，一转头却发现猞猁们都不见了，朋友也已经身手敏捷地一路左右跳，悄无声息地回到了地面上。我赶紧顺着防盗网移动，下去追他。

等我下来的时候，朋友已经绕过宿舍楼，继续往前走了。我跟着跑了几步，回头发现工厂已经停工了，天从暗红色变成日出前的蒙蒙亮。刚才我们趴着的宿舍楼，绕到后面一看，原来根本就只有一面墙，背后是空的，根本没有房间。

脚下一软，路也不再是生锈的铁皮了，变成了黑色的沙土。表面的一层沙子很松软，会来回滑动，但脚陷进去都不到脚面，就能感觉到已经踩到了实土，有点黏。

路不远处又是下坡，朋友的身影一闪，又消失了。我赶紧继续追，坡的尽头是一条污水河，流的与其说是废水不如说是废泥，像一管黑色的牙膏，散发着恶臭。

朋友毫不犹豫就跳进了臭水里，伸手进水里摸出一个塑料瓶，舀了点污水，津津有味地尝了尝，回头冲我笑，脸黢黑，牙雪白。

我想叫他回来，却发不出声音，只能眼睁睁看着他扔下塑料瓶，继续兴冲冲地往右一拐，朝臭水沟的上游去了。脚下很黏，我一步一步地挪，到水沟边上一狠心，也跳进去，在齐膝深的臭水里继续追他。

钻了一个桥洞，臭得人眼珠子都疼，终于到头了，爬到了岸上。朋友把臭泥均匀地涂了全身，正和一群同样在做「泥浴」的人聊天，发出咝咝的声音。

我感觉我要失去这个朋友了，他已经变成了什么非人的东西。下意识在腰上一摸，左轮枪还在。我心一横，直接朝他们，或者说是它们，走过去。

我一现身，他们就都不聊天了，朋友也发现了我，只是一个劲傻笑，脸黢黑，牙雪白。所有人排成了两列，面朝一个小库房的门口，空旷的库房里摆了一张桌子，桌后坐了一个他们的同类，像是在给他们做什么登记。

我装作没事的样子，直接走进库房，回头看到所有人都像我朋友那样，在盯着我傻笑，脸黢黑，牙雪白。桌子旁边还摆了一个易拉宝展牌，上面写着「球队招聘」。

我绕到那个登记员的身后，掏出左轮指着他的头，小声威胁他，问他这到底是怎么回事，他们把我朋友怎么样了。那人很平静地转过头来看着我，也没有笑，但也不说话。

他像是在犹豫，眼珠极限转动，甚至完全翻成了白色，似乎是盯着自己后脑勺上的枪口在看。终于，他开口了，嘴唇像花萼一样裂开成很多瓣，嘴里没有舌头，反倒伸出几根惨白的须子，每根须子上都挂着一坨沉甸甸油腻腻的黑色的东西，像水仙花的花粉。

我生怕被他嘴里像花粉一样的东西沾到，果断开了枪。左轮没有声音，也没有引燃什么东西，但登记员的脑袋却突然开花了，是真的开了花——他从头顶直接裂成了四瓣，脑子里的所有花瓣都哗地一下向周围展开了，刚才像舌头一样的东西孤零零地立在脖子上面，沾满了花粉。

排队靠前的几个家伙看到登记员的脑袋开了花，就气冲冲地跑进库房里，嘴里还咝咝地说着什么。我吓坏了，一枪一个，一口气又干掉4、5个怪物，没子弹了，库房门口被堵，我只能转身往库房里面跑。

有一截楼梯，我顺着爬到了二楼，回身把门反锁了，暂时安全。窗外突然传来巨大的汽笛声，不知道发生了什么，但能从窗口看到天色剧变，从蒙蒙亮的暖黄，一下子恢复了最初的灰蒙蒙阴天。

我摸到阳台，看到外面只有地板，没有围栏，还挺危险的。地板边缘坐了一排三个小孩，小腿都伸出边缘悬在空中，探着脑袋看楼下。

我怕他们掉下去，就蹲在旁边，小声问那个离我最近的小孩，在看什么。小孩看了看我，指楼下不远处。我也探头一看。

好诡异，楼下不再是那个臭水沟，而变成了一片非常混乱的街市。路况很差，烂泥路似乎是冻上了，到底都是硬辙子，一些破车很勉强地在路上挤来挤去。

突然，有一辆小车的照后镜，把路边的一个黑哥哥给挂倒了。车停了，后座下来了一个男的，跟那个黑人道歉，扶对方起来。小孩笑呵呵地指着，说那是自己的爸爸。

我正想问哪个是，是被撞的黑人，还是车上下来的男人，突然远处那个黑人爬起来之后，就像发现了我一样，远远地抬头看着我，笑了。脸黢黑，牙雪白。

我吓一跳，扭头一看那小孩，他也在笑，发出咝咝的声音。笑着笑着，脸就变形了，下巴向下拉开，上颚像鳄鱼那样突了出来，变成了一张向前伸出超过整张脸的嘴。

另外两个小孩转过头来，也是一样的造型，全都长得跟异形一个样。再低头，看路上所有行人，也都转头看着我，脸全都变得像异形一样。

这下我明白了，原来就我一个人长得不一样。在他们眼里，肯定我才是这个星球上的异形。",惠州市,2024-02-24,狗生逆袭的斯芬克斯,0,14,0.0,14.0
24455,#SSR交换站[超话]# 🈚️,惠州市,2024-02-28,不咕,0,11,0.0,11.0
23014,为什么我担活动全在三月 要老命了[单身狗] ​​,惠州市,2024-02-28,茶仙叹-,0,6,0.0,6.0
