,content,city,date,id,n_repost,n_comment,n_like,influency
26802,"【典藏系列】亚洲天王@林俊杰 《身为风帆》珍贵现场（2018华歌榜）

作词 : 姚若龙
作曲 : 林俊杰

林俊杰JJ20世界巡回演唱会【2024上半年】巡演场次已公开21场 : 

日期 : 3.9+10
城市 : 成都
地点 : 东安湖体育公园主体育场

日期 : 3.16+17
城市 : 杭州
地点 : 杭州奥体中心主体育场（大莲花）
⭐首位连开的歌手

日期 : 3.30+31
城市 : 福州
地点 : 海峡奥体中心海螺体育场

日期 : 4.12+13+14（3场）
城市 : 天津
地点 : 天津奥体中心水滴体育场

日期 : 5.4+5
城市 : 深圳
地点 : 大运中心体育场

日期 : 5.11+12
城市 : 济南
地点 : 济南奥体中心西柳体育场

日期 : 5.25+26
城市 : 苏州
地点 : 苏州奥体中心体育场

日期 : 6.1+2
城市 : 郑州
地点 : 河南省体育中心体育场

日期 : 6.15+16
城市 : 贵阳
地点 : 贵阳奥体中心金阳体育场

日期 : 6.22+23
城市 : 哈尔滨
地点 : 哈尔滨国际会展体育中心体育场
⭐首位连开的歌手

JJ20世界巡回演唱会总场次数已来到62场。

华语乐坛里程碑巡演，正在解锁中。

#林俊杰演唱会四城官宣# http://t.cn/A6YTBKJW",揭阳市,2024-02-29,JJFusionBeats,101,32,0.0,133.0
12175,"✨#超话星愿池#✨#魏大勋0412生日快乐# 

2023.8.31

欧莱雅美发·存档

你是我的盛夏晴空，也是我的雨后斜阳

@魏大勋 

【🈲快🧱】 ​ http://t.cn/A6YN25W3",揭阳市,2024-02-25,茶杯里的大勋花,1,127,0.0,128.0
20929,我真的尖叫，过了十五天一看这人还出了这些，太赢荡了,揭阳市,2024-02-28,安泽Anzeeeeee,20,60,0.0,80.0
17325,家里没钱搞痔疮可以学一下这个,揭阳市,2024-02-27,安泽Anzeeeeee,4,24,0.0,28.0
16540,"🍺 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 揭阳 ​​",揭阳市,2024-02-27,吃个草莓吗2,0,8,0.0,8.0
21680,"你怎么咋回事啊我操？
转载了@久爱吃瓜 的微博图片 ​​",揭阳市,2024-02-28,美式复古夜用小偷,0,4,0.0,4.0
15550,"《啊？》
这这这这[跪了]要不我下去吧[单身狗]我不应该在这组里我应该在观众席[跪了][跪了][跪了]",揭阳市,2024-02-27,Marie_头顶冒泡泡版,0,4,0.0,4.0
14076,"特种兵之一周跑了五个城市🌆
新成就：自己从汕头开回深圳✅
任何人！！！不来潮汕看营老爷我都会伤心的！！（感觉把这辈子的鞭炮🧨烟花都看完了 几天几夜没有停过 耳朵都要吃不消了hhh 真心震撼[awsl] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 普宁 ​​",揭阳市,2024-02-26,Jashinaa,0,3,0.0,3.0
13917,#考研成绩##小徐上岸# 为大家整理了【400多所热门学校复试真题】【研究生复试简历上岸模板】【各大高校历年考研复试真题】   需要的同学加下面 公众hao：早安学姐，回复：复试      马上获取,揭阳市,2024-02-26,VOA英文口语,2,0,0.0,2.0
14914,"今天要加油鸭，开始复工！ <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕头·汕头大学(东海岸校区) ​​",揭阳市,2024-02-27,水犀灵琳,0,2,0.0,2.0
