,content,city,date,id,n_repost,n_comment,n_like,influency
18507,早餐一家人都爱吃的梅菜肉包子，一次发酵够简单，咸香好吃又松软了#我是马小坏[超话]##微博厨房大赛##我的美食日记#  @鲜城 @微博美食,梅州市,2024-02-28,马小坏频道,36,18,0.0,54.0
25082,"嗯，去年十二月份发觉主板风险，机会在北交所，然后出来告诉大家北交所难得的大机会。
来到一月初，指出北交所行情结束，同时指出主板仍然没有机会，更是特别提醒不能玩个股，因为大盘没有成交量。实在要玩的话，只能是分批低吸大盘指数。
最终一语成谶，竟然迎来了个股股灾。好多股票腰斩了。而我们低吸大盘指数的则躲过了这波惨绝人寰的股灾。
直到2月6日，才出来告诉大家可以抄底严重超跌绩优个股搏反弹了。
亦很幸运，2月6日基本是个股集体最低位置了。
最终亦迎来了一波反弹。
至此，我可以完美退出江湖不再聊股市了。
但大盘指数又刚好来到了3000区域。
而这个区域是前期密集套牢区，需要来回震荡消化，我担心大家节奏没有踩对的话会受到损失，不得不又出来写文章告诉大家怎样应对这个区域的特点。

嗯，导致没有彻底退休，实在抱歉。

在这里给大家道个歉！

然后彻底退休吧。",梅州市,2024-02-28,午夜点灯者,0,47,0.0,47.0
13801,"🫦
🫵 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 梅州 ​​",梅州市,2024-02-26,_corngirl,0,9,0.0,9.0
23975,"无所事事的时候
也挺想有人来斗嘴🤭😛 ​​",梅州市,2024-02-28,做快乐的自己比自律更幸福,0,8,0.0,8.0
21959,"关于金柚酥在全国各地找合作伙伴代理的想法。
我也想听听大家的意见。
对于产品而言，优势是大家吃过后的口碑一致认可，不比厦门台湾的凤梨酥口感差，甚至很多童鞋认为已经超越，但价格却可以做到那边的一半。
食材方面，都是采用了大品牌的原材料，不是偷工减料以次充好，每一滴油每一粒面粉每一块果脯都可以溯源。
基于这种好吃又便宜很多的角度，我是希望打造爆款产品全国推广。
梅州这边政府主推客家炒绿茶和梅州金柚，我现在所做的也是符合政府推广主题的。
现在想要讨论的是，怎样找代理合作推广会更好？
我希望的是可以双赢的局面。
一是消费者可以享受到物美价廉的好产品。
二是参与代理的合作伙伴也要有一定合理利润，不能白白帮忙，那样也难以持久。

现在旗舰店这边零售价格是50元每盒，对标厦门台湾等城市的八十到一百不等的凤梨酥产品。
我这边暂时卖38元每盒，主要还是做推广了。

如果大家做代理拿回去也是卖50元，那价格可以比厦门台湾的一些品牌凤梨酥低很多，是有一定优势的。

但参与代理的话，你需要有一定的销售渠道。

也请大家给点意见，一起讨论一下，谢谢",梅州市,2024-02-28,午夜点灯者,0,4,0.0,4.0
12829,"卧虎藏龙的小县城 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 梅州·丰顺 ​​",梅州市,2024-02-26,Tk街车,0,3,0.0,3.0
12834,『科学家发现因果秘密，让人大吃一惊，真的不是迷信！』http://t.cn/A6YlVmR8 ​​,梅州市,2024-02-26,13823833339求加群学思践悟,1,1,0.0,2.0
11032,"花灯千盏送美好，皓月人间共良宵✨ <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 惠州·惠州西湖 http://t.cn/A6Y0Do8F ​​",梅州市,2024-02-24,我们一起可乐雪碧丫,0,1,0.0,1.0
13233,"#一张图证明我来过这里#梅州烧龙震撼人心 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 梅州·丰顺县埔寨火龙广场 http://t.cn/A6YW2TOC ​​",梅州市,2024-02-26,GD-悟,0,1,0.0,1.0
28914,@BB小兔_   宝宝送的[龙卷风]心满意足，稀有超好看,梅州市,2024-02-29,怀宝,0,1,0.0,1.0
16152,发布了头条文章：《开春第一会！吹响实干奋进号角》 :2月26日，兴宁市检察院召开全院干警大会，传达学习省、市高质量发展大会精神，部署新一年目标任务、思路举措。兴宁市检察院党组书记、检察长彭宙出席会议并讲话，党组成员、副检察长石思强主持会议。@梅州检察 @广东检察 @最高人民检察院  http://t.cn/A6YlRZlt,梅州市,2024-02-27,兴宁市人民检察院,1,0,0.0,1.0
10753,"#实践吧青年#  
  韩愈在《师说》中提出“师者，所以传道授业解惑也。”中学时期是一个人成长成才的关键时期，中学教师对我们的影响无疑是深远的。这个寒假，为了感谢老师的难忘恩情，我参加了“感谢恩师，你我同行”线上遥寄祝福活动。
  2024年1月22日，我将制作好的电子贺卡发送给我的高中班主任、数学老师——广东梅县东山中学陈志远老师，把感激之情通过一根网线传达给恩师，并给老师送上我的一点小祝福。
  令我万万没想到的是，老师在百忙之中即时回复了我。在老师的话语中，惊喜之情溢于言表。接下来，我先问候了老师的身体健康状况——老师一向颇有“拼命三郎”的精神，事无巨细，面面俱到，因为劳累过度，老师的身体不是很好。老师说因为健康原因，现在自己已经不再担任班主任。我劝导老师“身体是革命的本钱”，叮嘱老师还是要放宽心态，注意身体健康。由于时常在母校新闻上看到老师在各类比赛中获奖的身影，我由衷地赞叹老师不断学习进取、持续钻研技术的精神。老师轻描淡写地表示因为自己对数学有着真挚的热爱，永远也不会感到劳累。我想起上高中的时候，老师因为精通数学、计算机等技术，并且高度自律、不断学习各类技能而被称为“励志哥”，这十几年如一日坚持不断学习的精神，确实很励志，堪称吾辈楷模。
  想到这里，我和老师回忆起了高中生活。拾忆话从前，我对恩师栽培的感激之情难以言表。老师的工作方式和作风深深地影响了我，老师的不少理念我也相当认同。老师从高二起担任我的数学老师，为我的数学学习提供了极大的帮助。高一时，由于学习始终不得要领，我的数学成绩一塌糊涂。上了高二，志远老师给我带来的许多新的学习理念、方式和方法让我耳目一新，颇有恍然大悟、茅塞顿开之感。我的数学学习很快有了改观，成绩也逐步提升上来。可以说，没有老师的指导，我无法取得今天的成绩。
  忆往昔，话今宵，令人无限感慨。走出大山，来到大城市上大学，整个环境发生了翻天覆地的变化，迷茫和困惑难以避免，再加上我本人性格比较内向且不自信，我的大学生活不尽如人意。和老师说起大学生活遇到的困难，老师耐心地倾听并鼓励我，讲起他在大学突破自己，逐渐改变内向性格的经历，建议我多参与多人运动，增强自信心。
  最后，老师回赠寄语给我，勉励我锐意进取，朝气永存，并祝福我拥有一个光明的未来。
@厦门大学学生社会实践指导中心  @厦门大学  @青春厦大",梅州市,2024-02-24,黄稞富,1,0,0.0,1.0
0,转发微博,梅州市,2024-02-01,最耀眼的晨光-yu,0,0,0.0,0.0
889,《#开工第一天精神状态话题##2024广东省高质量发展大会#》有事搜一搜，没事看一看http://t.cn/A6YaPA8n,梅州市,2024-02-18,Ling-旋子,0,0,0.0,0.0
1050,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaXIIu ​​,梅州市,2024-02-18,_yyyyttt,0,0,0.0,0.0
1266,"我分享了【2.18高质量发展大会直播链接】, 快来看吧！ | http://t.cn/A6YXko8I ​​",梅州市,2024-02-18,麻雀不吃甲壳虫,0,0,0.0,0.0
1271,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YatHjr ​​,梅州市,2024-02-18,z-森燁,0,0,0.0,0.0
1323,#2024广东省高质量发展大会# http://t.cn/A6YaM214 ​​,梅州市,2024-02-18,用户6228711947,0,0,0.0,0.0
1332,#2024广东省高质量发展大会# http://t.cn/A6Yaj7B1 ​​,梅州市,2024-02-18,用户7356370899,0,0,0.0,0.0
1414,#2024广东省高质量发展大会# http://t.cn/A6Yaws5h ​​,梅州市,2024-02-18,keke-169,0,0,0.0,0.0
1424,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXDjjc ​​,梅州市,2024-02-18,勤奋生长,0,0,0.0,0.0
1577,【直播 | #2024广东省高质量发展大会# 】2月18日上午9：30，广东省委、省政府在深圳召开全省高质量发展大会。敬请关注！ ￼深圳特区报的微博直播 ￼2024广东省高质量发展大会 http://t.cn/A6YavBOd ​​,梅州市,2024-02-18,_yyyyttt,0,0,0.0,0.0
1708,"我分享了【#2024广东省高质量发展大会#】, 快来看吧！@小米浏览器 | http://t.cn/A6YaiXq3 ​​",梅州市,2024-02-18,大麻花or小麻花,0,0,0.0,0.0
1816,#2024广东省高质量发展大会# http://t.cn/A6YazfZK ​​,梅州市,2024-02-18,雪地饿的狗,0,0,0.0,0.0
1971,《新春第一会！广东省高质量发展大会18日召开》有事搜一搜，没事看一看http://t.cn/A6YXDByM ​​,梅州市,2024-02-18,本20232004,0,0,0.0,0.0
1997,"同志们，朋友们！大道至简，实干为要。历史不会辜负创新者、奋斗者。[拳头]

让我们更加紧密地团结在党中央周围，高扬自信自强的精神，展现日新月异的创造，奋力推动广东在推进中国式现代化建设中走在前列，以优异成绩向新中国成立75周年致敬！[加油] ​​",梅州市,2024-02-18,扎根乡村的工仔,0,0,0.0,0.0
2364,"我分享了【新春第一会！广东省高质量发展大会18日召开】, 快来看吧！@小米浏览器 | http://t.cn/A6YXDgCi ​​",梅州市,2024-02-18,用户7391669167,0,0,0.0,0.0
2454,#2024广东省高质量发展大会# http://t.cn/A6YauuSd ​​,梅州市,2024-02-18,用户6138231308,0,0,0.0,0.0
2456,"#2024粤粤欲试# 【直播：#2024广东省高质量发展大会#】2月18日上午9：30，广东省委、省政府在深圳召开全省高质量发展大会。广东新闻频道对大会进行全程电视直播，触电新闻进行网络视频直播，省市县三级媒体等客户端同步转播，敬请关注！#2024广东这么干# #高质量发展广东站C位# #读懂高质量发展就读懂了新广东# #开年第一弹智造业强省#
￼广东台触电新闻的微博直播 ￼广东台触电新闻的直播间 http://t.cn/A6YaPBKr",梅州市,2024-02-18,_yyyyttt,0,0,0.0,0.0
2527,新春第一会！广东省高质量发展大会18日召开@QQ浏览器 http://t.cn/A6YXDKLa,梅州市,2024-02-18,susie的天涯,0,0,0.0,0.0
2614,#2024广东省高质量发展大会# http://t.cn/A6Yaziuq ​​,梅州市,2024-02-18,哈奇不是哈士奇,0,0,0.0,0.0
2720,黄坤明同志在广东省高质量发展大会上的讲话实录（2024）@QQ浏览器 http://t.cn/A6YaNeLk ​​,梅州市,2024-02-18,susie的天涯,0,0,0.0,0.0
2729,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXDOoA ​​,梅州市,2024-02-18,驮着一只猪,0,0,0.0,0.0
2893,微博@QQ浏览器 http://t.cn/A6YavCcf【#2024粤粤欲试#【直播：#2024广东省高质量发展大会#】2月18日上午9：30，广东省委、省政府在深圳召开全省高质量发展大会。广东新闻频道对大会进行全程电视直播，触电新闻进行网络视频直播，省市县三级媒体等客户端同步转播，敬请关注！#2024广东这么干##高质量发展广东站C位#,梅州市,2024-02-18,susie的天涯,0,0,0.0,0.0
2970,#2024广东省高质量发展大会# http://t.cn/A6YaJR81 ​​,梅州市,2024-02-18,勤奋生长,0,0,0.0,0.0
3014,"我分享了【新春第一会！广东省高质量发展大会18日召开】, 快来看吧！ | http://t.cn/A6YXsilf ​​",梅州市,2024-02-18,麻雀不吃甲壳虫,0,0,0.0,0.0
3110,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6Yaud5l ​​,梅州市,2024-02-18,用户6138231308,0,0,0.0,0.0
3167,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） @新浪新闻 http://t.cn/A6YaXTAg ​​,梅州市,2024-02-18,用户7900195238,0,0,0.0,0.0
3193,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaumNq ​​,梅州市,2024-02-18,用户6138231308,0,0,0.0,0.0
3290,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！@小米浏览器 | http://t.cn/A6Yai6AQ ​​",梅州市,2024-02-18,大麻花or小麻花,0,0,0.0,0.0
3313,#开年第一弹智造业强省# http://t.cn/A6Yau8Er ​​,梅州市,2024-02-18,用户6138231308,0,0,0.0,0.0
3319,<metacharset http://t.cn/A6YauDak,梅州市,2024-02-18,用户6138231308,0,0,0.0,0.0
