,content,city,date,id,n_repost,n_comment,n_like,influency
16165,"出差中和客户吃晚饭，免不了喝酒… <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 东莞 ​​",汕头市,2024-02-27,c胡须魔人,5,62,0.0,67.0
20071,去年十月份，我发表的这条对于小米雷军造车的一些看法，被不少米粉怼，但是纵观目前整个电动车市场，我的这段话放在这个变化迅速的时代，到今年2024到目前看起来也还算成立，据说小米造车已经烧掉100亿了，光是量产和定价就让雷总憔悴，造车不易，很多前车之鉴，还是祝福雷总祝福小米能在新能源赛道中站稳脚跟，新能源市场或许还需要一条鲶鱼，继续搅动搅动！,汕头市,2024-02-28,焕彬,1,39,0.0,40.0
31055,"#babymonster中转站[超话]#
JD平台 不调价 
拼齐就下单 
广东车主 宝怪无雷放心上车🤲",汕头市,2024-02-29,柾晕,0,22,0.0,22.0
29673,请善用双曲[干饭人] ​​,汕头市,2024-02-29,夏日记言簿,0,19,0.0,19.0
17277,#大汕头湾区[超话]##粤东城铁快讯# 汕头一中站抗拔桩打完，时代广场站差两块底板，中山路隧道盾构机计划年底下（3台）[doge] ​​,汕头市,2024-02-27,鮀岛铁道,0,19,0.0,19.0
10889,"#丞磊[超话]##超话星愿池# 

秤砣公主们都去腾讯预约锦月如歌了吗？预约好少啊，有没有可能预约越多越能早点上呢 ​​",汕头市,2024-02-24,广东人才知道丞磊那样的多难得,2,13,0.0,15.0
16227,"云吞跟馄炖就是不一样[微笑] 
天王老子来了也不一样[微笑]@狗酱来也",汕头市,2024-02-27,-晚睡修狗-,0,12,0.0,12.0
29761,"#陈楚生[超话]# [心]#陈楚生棱巡回演唱会# 
一个询问呱唧呱唧！
我找代p蹲到了生哥的深圳场回流票，现在不是刚好停止退票了嘛，我就拿代p给我的订单号和dm客服核对信息，结果就是我给的信息和订单号是一致的。是不是意味着我可以去见生哥了！ ​​",汕头市,2024-02-29,呜唔捂雾限定话唠,0,10,0.0,10.0
11124,#汕头[超话]#http://t.cn/A6aBlcpZ ​​,汕头市,2024-02-24,广东陈松荣,7,3,0.0,10.0
33,#汕头# 汕头市委书记温湛滨表示，汕头将坚持“工业立市、产业强市”，以贸促工、以工兴贸、工商并举，以科技赋能加快纺织服装、玩具创意、大健康等传统产业“迭代升级”，以技术突破加速新能源、新材料、新一代电子信息等新兴产业“弯道超车”，建设全球最大的六自由度风电机组加载实验平台等科研重器，打造汕头科学城、南澳科学会议等创新平台，提速发力“百千万工程”，办好国际潮团、潮商“两大盛会”，当好汕潮揭都市圈一体化发展“火车头”，乘势而上、大干快干，在推进中国式现代化建设中闯出新路来。,汕头市,2024-02-18,城视汕頭,0,9,0.0,9.0
29770,"心血来潮，想试试汕头哪家烧烤的烤鸡翅最好吃[笑cry]，目前收集到的提名：澄海 鸽飞天下，庵埠 新烤味，三身人老师傅，莱芜阿客烤翅，太远的不想去，今晚来吃了三身人老师傅，还可以（绝了、真不错、还可以、不行），但还是没办法超越SK精致烧烤的鸡翅，改天再试下一家🤗
#汕头美食#",汕头市,2024-02-29,大锅只是喝醉,1,8,0.0,9.0
17883,#男子1个月发烧3次感染两种要命寄生虫#汕头的生腌店，鱼生店如雨后春笋般冒出来，主要是迎合游客口味开的，也没有卫生许可证，请吃客睁大眼睛。本地人极少光顾。不要问我为什么，也没有寄生虫。 ​​,汕头市,2024-02-27,臻味食旅,0,8,0.0,8.0
16383,给你们看我的鹅子和女鹅 小学生太治愈了[泪][泪][泪][泪][泪]太可爱了太可爱了[泪][泪] ​​,汕头市,2024-02-27,搬去月亮烤面包,0,7,0.0,7.0
32004,"在家越是多待一刻 就越不想回去上班[泪][泪][泪]
#不想上班不想上班# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕头·西凤村 ​​",汕头市,2024-02-29,Yooyiyio_,0,6,0.0,6.0
15632,快点出月子然后回深圳？[doge] ​​,汕头市,2024-02-27,Xu是女童鞋呀,0,5,0.0,5.0
22446,"失眠啊啊啊因为要开学了.....[泪][泪] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕头·汕头金平万达广场 ​​",汕头市,2024-02-28,锅噜噜成长记,0,5,0.0,5.0
11634,可爱点好啊,汕头市,2024-02-25,没事来口饭,0,5,0.0,5.0
19649,"有趣的人儿 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕头·Queen’s Garden(皇后餐吧) ​​",汕头市,2024-02-28,薯条不爱蘸酱了,0,4,0.0,4.0
18298,整个汕头抓不到一个人今晚一起看电影！！！分为有局组、在校组、加班组、病弱组（集合有交叉） ​​,汕头市,2024-02-28,吴理取,0,4,0.0,4.0
