,content,city,date,id,n_repost,n_comment,n_like,influency
20470,人生的道路从来不会一成不变，有坦途，也必然有曲径；有阳光，也必然有云雨；有过去，势必有明天。不要奢望只活在阳光里，没有雨露滋润的生命岂能成长。有一些成功伴随，也有一点波折坎坷，人生因此趋于真实与完美。人生，没有人会活得一无是处，也没有人能活得了无遗憾。 ​​,汕尾市,2024-02-28,谁又偷我饭,0,32,0.0,32.0
11608,"把我整烦了。 
你牛，你是史，我发了十条wb都➕，➕到ss没有了，你，你。[微笑]@曹国伟 @微博小秘书 
点击🔗阅读随笔http://t.cn/A6YO7ysl
文案在图上[微笑] ​ http://t.cn/A6WWd8ds",汕尾市,2024-02-25,次日企鹅,0,19,0.0,19.0
14460,#CARAT[超话]# 04大学生 坐标广东 pyq会发现生和追星碎碎念 留号加 团偏1 雷澈汉的可以吱一声 我搞分组或者介意的话就跳过我吧[打call] ​​,汕尾市,2024-02-27,澈哩子味铜罗烧,0,10,0.0,10.0
28993,"再次穿上高中校服
又是谁的青春啊 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕尾·陆丰市龙山中学(老校区) ​​",汕尾市,2024-02-29,莫莫不消停,0,5,0.0,5.0
12809,"答应我 明天开始早睡好吗[微笑] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕尾·陆河 ​​",汕尾市,2024-02-26,李怡怡-,0,3,0.0,3.0
28758,美食推荐与代购#不可辜负的美食# ​​,汕尾市,2024-02-29,陈丽旋119,0,2,0.0,2.0
11068,"#过完元宵节才算过完年# 
✌️
#春节摄影大赛# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 汕尾",汕尾市,2024-02-24,_有头发没烦恼,0,1,0.0,1.0
4852,"新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXg1OT 
#高质量发展广东站C位# 、#读懂高质量发展就读懂了新广东# ​​",汕尾市,2024-02-18,amnesia678,0,1,0.0,1.0
9243,"#今日晚报##东东晚间报道# 

2024年2月19日 新闻晚报🕡 ​​​
每日一分钟，与发展保持同步，东东陪你积累时政易考点！ ​​​",汕尾市,2024-02-19,粉笔广东,1,0,0.0,1.0
31551,"过啦！！！一次过[好喜欢]90分我也满意[坏笑]
<img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 双鸭山·圣洁摇篮山滑雪场 ​​",汕尾市,2024-02-29,嘻嘻喜欢陈劲生,0,0,0.0,0.0
6715,我分享了广东省高质量发展大会 快来看吧！@小米浏览器 | http://t.cn/A6Yahpcm,汕尾市,2024-02-18,努力的阿洲,0,0,0.0,0.0
17115,转发微博,汕尾市,2024-02-27,海石花生,0,0,0.0,0.0
4498,#开工第一天精神状态话题##2024广东省高质量发展大会# http://t.cn/A6YaPGRA ​​,汕尾市,2024-02-18,用户7491479300,0,0,0.0,0.0
