,content,city,date,id,n_repost,n_comment,n_like,influency
11974,#比亚迪为劝架车主奖励20万#为比亚迪车主的见义勇为之举点赞，说真的冲动是魔鬼，如果没有#比亚迪车主劝架# ，事态的最后真不知道会发展成什么样？也要为比亚迪的大格局点赞，让见义勇为者得到认可，更能弘扬和鼓舞社会正能量！ ​​,江门市,2024-02-25,值言说,3,36,0.0,39.0
13374,"#王鹤棣[超话]# 一天跑三个城市 因为你心里有我们[羞嗒嗒] 
（同担面基太快乐）[爱慕][爱慕] ​​",江门市,2024-02-26,棣E_mmm,2,18,0.0,20.0
16232,#喷漆扩关[超话]#继续🈷️🈷️喷漆，月到1000 ​​,江门市,2024-02-27,织遇夏魚桉,0,13,0.0,13.0
10848,"#KPL中转站[超话]#
收收图上 还有其他的风箫相关也可以 最好多张一起 ​​",江门市,2024-02-24,榴莲夹心蛋,0,13,0.0,13.0
13165,#王鹤棣[超话]# #王鹤棣出发回国了# 有没有人知道28号录制完是会在珠海送机还是广州送机呀[疑问],江门市,2024-02-26,Eleyan-zzz,0,12,0.0,12.0
13323,#十三余[超话]#出 ​​,江门市,2024-02-26,南麓来风,0,7,0.0,7.0
19461,"今天是灰蒙蒙的天空，
海的那边是什么已经不重要了？ <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门·那琴半岛地质海洋公园 ​​",江门市,2024-02-28,没脚de鸟儿xr,0,3,0.0,3.0
13362,"end. <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门·黄金铁馆健身工作室 http://t.cn/A6Ylinv8 ​​",江门市,2024-02-26,DearXan-,0,3,0.0,3.0
11943,爱你轩后 这么萌的礼包我必拿到[好爱哦] ​​,江门市,2024-02-25,辛德瑞拉魔法豆,0,3,0.0,3.0
19852,#台湾省#好好好，本来就应该这样啊[喵喵][喵喵] ​​,江门市,2024-02-28,程鹿L,0,2,0.0,2.0
21595,"存档一下
相对完整的oc#oc[超话]# ​​",江门市,2024-02-28,雨貍埋霾,0,2,0.0,2.0
13225,"自由城大酒店量贩式KTV #台山探店 #台山美食 #台山吃喝玩乐 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门·量贩式KTV http://t.cn/A6YlzWQM ​​",江门市,2024-02-26,台山魅创传媒,1,1,0.0,2.0
28626,"忍不住没有人参精华油用的日子，
定居在美国的小桉先把它用了[允悲][允悲] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门",江门市,2024-02-29,阿侦姑娘,0,1,0.0,1.0
31917,要被笑死 ​​,江门市,2024-02-29,不吃主食会变暴躁,0,1,0.0,1.0
15880,"回头看 轻舟已过万重山 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门 ​​",江门市,2024-02-27,Wan-敏,0,1,0.0,1.0
28820,"上课闲的一批，给指甲整点东西
@沈羽洁er <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门·宝源小学 ​​",江门市,2024-02-29,小沈_羽洁,0,1,0.0,1.0
15279,#周翊然[超话]# 0227📚🍊打咔 ​ http://t.cn/A6WjaA9I,江门市,2024-02-27,是茵不是焉吖,0,1,0.0,1.0
11297,"改命终究还是要靠自己：
选择、努力、向上链接。
勇敢的人值得奖励！
施洛贝缇的第二个十年开始
白水带风景区夜景好美🎄🎄
欢迎大家来江门旅游观光[握手]
#祈福##江门同城##江门[地点]# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 江门·白水带风景区 http://t.cn/A6Y03JHA ​​",江门市,2024-02-24,阿侦姑娘,0,1,0.0,1.0
13459,"#广东海洋大学[超话]##晚安海大# 
听闻黄昏是个浪漫主义者，难怪夕阳会爱上它。 ​​",江门市,2024-02-26,广东海洋大学,0,1,0.0,1.0
6190,"我分享了【新春第一会！广东省高质量发展大会18日召开】, 快来看吧！@小米浏览器 | http://t.cn/A6YXQyYS ​​",江门市,2024-02-18,千v男友,0,0,0.0,0.0
8608,#2024广东省高质量发展大会# http://t.cn/A6YoPvxI ​​,江门市,2024-02-19,用户5303389634,0,0,0.0,0.0
7809,"我分享了【#2024广东省高质量发展大会#】, 快来看吧！ | http://t.cn/A6YS23W0 ​​",江门市,2024-02-19,用户7813723619,0,0,0.0,0.0
17932,卧槽啊啊啊啊啊啊,江门市,2024-02-28,帕恰小炡,0,0,0.0,0.0
10019,我正在看【#开年第一弹智造业强省#】，分享给你，一起看吧！http://t.cn/A6YKqf2P ​​,江门市,2024-02-20,巫师不会游泳,0,0,0.0,0.0
6767,#2024广东省高质量发展大会# http://t.cn/A6Yaz9IC ​​,江门市,2024-02-18,用户6757258681,0,0,0.0,0.0
147,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！@小米浏览器 | http://t.cn/A6YaI5vv ​​",江门市,2024-02-18,苏菲亚卡婕琳娜,0,0,0.0,0.0
7751,微博@QQ浏览器 http://t.cn/A6YaIlWD ​​,江门市,2024-02-19,JC濠,0,0,0.0,0.0
10225,#开年第一弹智造业强省#@QQ浏览器 http://t.cn/A6YoDtba,江门市,2024-02-20,用户7892111091,0,0,0.0,0.0
7184,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YSkD0i ​​,江门市,2024-02-19,無可洄頭的偽奘,0,0,0.0,0.0
7366,来自【mp.weixin.qq.com】的分享 http://t.cn/A6YSoq8U ​​,江门市,2024-02-19,JC濠,0,0,0.0,0.0
7370,"我分享了【广东“新春第一会”开幕！聚焦产业与科技互促双强】, 快来看吧！ | http://t.cn/A6YSJXj3 ​​",江门市,2024-02-19,用户7903903070,0,0,0.0,0.0
7750,#高质量发展广东站C位#、#读懂高质量发展就读懂了新广东##开年第一弹智造业强省#『黄坤明同志在广东省高质量发展大会上的讲话实录（2024）』http://t.cn/A6YSfez2 ​​,江门市,2024-02-19,用户6418458511,0,0,0.0,0.0
8731,"我分享了【#开年第一弹智造业强省#】, 快来看吧！ | http://t.cn/A6YSUsAl",江门市,2024-02-19,wgf6181,0,0,0.0,0.0
16393,#女孩望父成龙送最新显卡激励父亲#广州女生为父亲送上最新显卡，用爱心与关怀激励父亲勇攀事业高峰，父女情深，携手共进！#广州女生给父亲买礼物激励其工作# ​​,江门市,2024-02-27,媛子9990,0,0,0.0,0.0
9956,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！ | http://t.cn/A6YKqBoj ​​",江门市,2024-02-20,天天向上的少年1983,0,0,0.0,0.0
6915,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaM8NV ​​,江门市,2024-02-18,荷屋昂簧,0,0,0.0,0.0
7707,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YSGad6 ​​,江门市,2024-02-19,370056349_c7e672,0,0,0.0,0.0
7175,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YS4sc0 ​​,江门市,2024-02-19,用户7274689219,0,0,0.0,0.0
8279,《#2024广东省高质量发展大会#》有事搜一搜，没事看一看http://t.cn/A6YSUWQ4,江门市,2024-02-19,若水_198707,0,0,0.0,0.0
20842,转发微博,江门市,2024-02-28,小h不会改名字了,0,0,0.0,0.0
10042,"我分享了【#开年第一弹智造业强省#】, 快来看吧！ | http://t.cn/A6YoTrbn",江门市,2024-02-20,Yyennnn,0,0,0.0,0.0
7249,#2024广东省高质量发展大会# http://t.cn/A6YSS8YL ​​,江门市,2024-02-19,耿耿星河欲满天,0,0,0.0,0.0
6603,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！ | http://t.cn/A6YaiiUt ​​",江门市,2024-02-18,用户7900077300,0,0,0.0,0.0
8369,#2024广东省高质量发展大会# http://t.cn/A6YSyJgn,江门市,2024-02-19,卡尔森的妈,0,0,0.0,0.0
7214,#开年第一弹智造业强省# http://t.cn/A6YS2ZR2 ​​,江门市,2024-02-19,双枪小猪哥,0,0,0.0,0.0
7016,我分享了【广东“新春第一会”开幕！聚焦产业与科技互促双强】，快来看吧！ | http://t.cn/A6YaNPap ​​,江门市,2024-02-18,今夜梦还暖,0,0,0.0,0.0
6269,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaY4VA ​​,江门市,2024-02-18,台山风车,0,0,0.0,0.0
9975,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！@小米浏览器 | http://t.cn/A6YoDvdc ​​",江门市,2024-02-20,用户5924898238,0,0,0.0,0.0
21160,"🍛

今日饭堂
和他分享一下
今天我们都吃了油麦菜
以前不喜欢沙姜，吃多了就喜欢了
汤汁拌饭真是太好吃了

🧧

突然聊到红包
才想起来公司开年的红包还没拆
那就来拆了吧
广东特色5块和10块

#日常[超话]##plog[超话]#",江门市,2024-02-28,一只小柴呀,0,0,0.0,0.0
8131,#2024广东省高质量发展大会# http://t.cn/A6YS25lt ​​,江门市,2024-02-19,会跳Rachel,0,0,0.0,0.0
7283,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！@小米浏览器 | http://t.cn/A6YSUOSW ​​",江门市,2024-02-19,nin好_43986,0,0,0.0,0.0
10051,《黄坤明同志在广东省高质量发展大会上的讲话实录（2024）》有事搜一搜，没事看一看http://t.cn/A6YKbzER ​​,江门市,2024-02-20,用户7314449275,0,0,0.0,0.0
6744,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6Yafrtx ​​,江门市,2024-02-18,F大城小事J,0,0,0.0,0.0
7170,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YSuZCM ​​,江门市,2024-02-19,风信子不语_,0,0,0.0,0.0
7609,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YS40Ud ​​,江门市,2024-02-19,用户6262904156,0,0,0.0,0.0
8072,#2024广东省高质量发展大会# http://t.cn/A6YSARy4 ​​,江门市,2024-02-19,用户6509511182,0,0,0.0,0.0
7002,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaTnjm ​​,江门市,2024-02-18,用户7363644822,0,0,0.0,0.0
9998,"我分享了【广东“新春第一会”开幕！聚焦产业与科技互促双强】, 快来看吧！ | http://t.cn/A6YKqRsG ​​",江门市,2024-02-20,天天向上的少年1983,0,0,0.0,0.0
