,content,city,date,id,n_repost,n_comment,n_like,influency
6737,"【河源农特产将迎来高质量发展利好#2024广东省高质量发展大会# 人勤春来早。#河源农特产将迎来高质量发展利好##高质量发展广东站C位# #开年第一弹智造业强省#撸起袖子加油干，只争朝夕抓落实，以奋斗的你我成就奋进的广东！】 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 河源 ​​",河源市,2024-02-18,一物乡甜,305,91,0.0,396.0
2097,"【河源农特产将迎来高质量发展利好#高质量发展广东站C位#人勤春来早。#2024广东省高质量发展大会# 撸起袖子加油干，只争朝夕抓落实，以奋斗的你我成就奋进的广东！
河源是传统农业大市，名优农产品品种多、产量高。河源市围绕生猪、茶叶、丝苗米等优势特色产业实施提档升级行动，以生猪为支撑的生态畜禽产业保持良好发展势头；茶产业发展迅速，种植面积超19万亩，综合产值超35亿元，培育了紫金蝉茶、东源仙湖茶等一系列具有区域特色的茶叶品牌；成功创建龙川、东源、和平3个丝苗米省级现代农业产业园，推动水稻种植向规模化、集约化耕种发展，农业方面优势产业发展成效初显。 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 河源",河源市,2024-02-18,一物乡甜,298,84,0.0,382.0
11909,"冷得瑟瑟发抖的一个周末[浮云] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 河源 ​​",河源市,2024-02-25,韩_小明,0,6,0.0,6.0
11382,要说奶我小时候最爱喝的是这个,河源市,2024-02-24,A天才萌物楚楚酱,0,4,0.0,4.0
12191,"#黄朔[超话]##黄朔 核心共情主唱# 🌸#黄朔 惊竹少年风意雅# 🌸#黄朔 完美舞台制造机# 

“愿今夏汇聚点点萤火微光，为你照亮前路，划破漫漫长夜”

@TF家族-黄朔 ​​",河源市,2024-02-25,朔鑫里话,0,4,0.0,4.0
11253,"分享图片 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 河源·枫深小学 ​​",河源市,2024-02-24,卡里乌斯祁闻,0,2,0.0,2.0
6395,#2024广东省高质量发展大会# http://t.cn/A6YaIfb7 ​​,河源市,2024-02-18,股寨老肖,0,1,0.0,1.0
1591,#高质量发展广东站c位##读懂高质量发展就读懂了新广东##开年第一弹智造业强省# 『2024广东省高质量发展大会』http://t.cn/A6Y6EP6R ​​,河源市,2024-02-18,用户7830978681,1,0,0.0,1.0
3604,《#开工第一天精神状态话题##2024广东省高质量发展大会#》有事搜一搜，没事看一看http://t.cn/A6Yah0Bs ​​,河源市,2024-02-18,感冒灵丶颗粒,0,0,0.0,0.0
3610,"我分享了【#开工第一天精神状态话题##2024广东省高质量发展大会#】, 快来看吧！@小米浏览器 | http://t.cn/A6Yah1Gw ​​",河源市,2024-02-18,helloword啊,0,0,0.0,0.0
4935,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6Ya9563 ​​,河源市,2024-02-18,熙花倪,0,0,0.0,0.0
3682,2024广东省高质量发展大会  #高质量发展广东站C位# 读懂高质量发展就读懂了新广东#开年第一弹智造业强省 http://t.cn/A6YXdMEg ​​,河源市,2024-02-18,肥_sheng,0,0,0.0,0.0
3708,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YavM19 ​​,河源市,2024-02-18,RachelOY,0,0,0.0,0.0
5053,新春第一会！广东省高质量发展大会18日召开http://t.cn/A6Y6ekne ​​,河源市,2024-02-18,15shiwu十五,0,0,0.0,0.0
3783,#高质量发展广东站C位#『2024广东省高质量发展大会』http://t.cn/A6Y6EP6R ​​,河源市,2024-02-18,勇敢的小牛牛呀,0,0,0.0,0.0
3787,"【开局就是冲刺！ #2024广东省高质量发展大会#在深圳召开】
锚定高质量发展，广东从“新”出发，向“新”而行，一体推进教育强省、科技创新强省、人才强省建设，在实现高水平科技自立自强上取得新突破。
#高质量发展广东站C位# #开年第一弹智造业强省# ​​",河源市,2024-02-18,一物乡甜,0,0,0.0,0.0
8835,#广东高质量发展大会 黄坤明：广东活跃跃的人气带来蓬勃朝气兴旺财气 http://t.cn/A6YS9fTk ​​,河源市,2024-02-19,WB_12,0,0,0.0,0.0
8472,分享视频 http://t.cn/A6YS4eeB ​​,河源市,2024-02-19,WIllow558,0,0,0.0,0.0
183,新春第一会！广东省高质量发展大会18日召开_南方+_南方plus #高质量发展广东站C位##读懂高质量发展就读懂了新广东# http://t.cn/A6Y6E6Mx ​​,河源市,2024-02-18,冥仔start,0,0,0.0,0.0
513,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6Ya8TOU ​​,河源市,2024-02-18,小木口盖,0,0,0.0,0.0
4759,#2024广东省高质量发展大会# http://t.cn/A6YaJemP ​​,河源市,2024-02-18,黄友友最美腻,0,0,0.0,0.0
6064,#高质量发展广东站C位#读懂高质量发展就读懂了新广东#开年第一弹智造业强省 『新春第一会！广东省高质量发展大会18日召开_南方+_南方plus』http://t.cn/A6Y6E6Mx ​​,河源市,2024-02-18,傻黑甜22,0,0,0.0,0.0
60,#2024广东省高质量发展大会# http://t.cn/A6YaE20C,河源市,2024-02-18,zoeeechow,0,0,0.0,0.0
5270,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaN7Eg ​​,河源市,2024-02-18,Fan利芳,0,0,0.0,0.0
25768,"#深圳租房[超话]#3号线 龙城广场地铁站

​精装 电梯 温馨单间 💰​980/🈷️

*********** 微信同号 http://t.cn/A6YYeUzG ​​",河源市,2024-02-28,深圳细威,0,0,0.0,0.0
23123,快到夏天吧～去二马路～去🏝️ ​​,河源市,2024-02-28,Yayum_,0,0,0.0,0.0
135,《黄坤明同志在广东省高质量发展大会上的讲话实录（2024）》有事搜一搜，没事看一看http://t.cn/A6YaWT0y ​​,河源市,2024-02-18,蔬畅,0,0,0.0,0.0
5232,#开工第一天精神状态话题##2024广东省高质量发展大会# http://t.cn/A6YaPxrR ​​,河源市,2024-02-18,楼底落,0,0,0.0,0.0
27330,"#时空中的绘旅人交易[超话]# 
老公们 你们谁吃新年礼盒 还有罗夏/司岚 都是110r包邮包抽奖的（只有一个全员的 所以全员吧唧塞你推）[来][来][来]很便宜的 快来吃一口吧[泪] ​​",河源市,2024-02-29,绵眠眠枝,0,0,0.0,0.0
198,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YavyOx,河源市,2024-02-18,勇敢的小牛牛呀,0,0,0.0,0.0
