,content,city,date,id,n_repost,n_comment,n_like,influency
16893,"每个人都有想要变得更好的动力，我们想要更好的身材，学习更多的知识，更好地约束自己的行动。
在欲望想要的时候，听从理智的指引。对自己说「不」。在欲望说不的时候，同样听从理智的指引，对自己说「要」。
这是个煎熬、痛苦、同满了自责、愧疚的过程。
我们将这条道路称之为自渡。
渡过苦海，便是光明彼岸。
让人失落的是，这是个无比漫长的过程。
让人欣慰的是，只要踏上这条道路，就不会再有回头的可能。
因为哪怕只是偶尔瞥到一眼光的人，都不会再留恋黑暗。

二月就要过去。
还是从写过的句子里，选出十句话送给你。
愿你的三月，一切都好。",深圳市,2024-02-27,勺布斯,6205,63,0.0,6268.0
12564,越南的国运来了 ​​,深圳市,2024-02-26,璨然烟云,603,1549,0.0,2152.0
15766,"【#2024KPL春季赛# 常规赛第一轮第二周比赛已结束，2月28日赛程如下】

⚡14:00 XYG VS 长沙TES.A
⚡17:00 佛山DRG VS 上海EDG.M
⚡20:00 深圳DYG VS 济南RW侠

#王者荣耀# ​​",深圳市,2024-02-27,宁檬茶,212,75,0.0,287.0
23098,爸爸教的人情世故 建议收藏‼️ ​​,深圳市,2024-02-28,热门无水印壁纸,215,16,0.0,231.0
16788,看别人抖腿什么感觉？ #龙年造梗大赛# ​​,深圳市,2024-02-27,不解哥哥,36,160,0.0,196.0
10674,"大声说！明天几点复团雅顿粉胶[舔屏]
——评论+点👍，揪10个仔打💰

限量只有2500件的，到时候都给我蹲好估计秒没！！自己去比价就知道我这多划蒜啦[并不简单]

抗老是出了名的好用[中国赞]不管是效果还是肤感体验都是超顶的！！答应我一定要入！！ ​ http://t.cn/A6Y0giGi",深圳市,2024-02-24,安利菌,7,156,0.0,163.0
16709,#宗庆后追思会# 农夫山泉钟睒睒被指不近人情，宗庆后逝世后，保持沉默至今，没公开致哀悼念引争议。 ​​​,深圳市,2024-02-27,新行情,65,67,0.0,132.0
27280,"#被我弄丢的你# 🦔#檀健次首映现场鼓励粉丝# 
啊啊啊啊啊啊，下午到现在还兴奋着呢！
人虽然没到现场，ID到了现场，心也跟着到了
檀健次你是我最最最最最不会弄丢的人@MIC檀健次JC-T 

同时也感谢大美女帮忙带Id打卡，辛苦了@大美女叫我大美女 ​​",深圳市,2024-02-29,檀健次我蓉意嘛,3,122,0.0,125.0
12231,我首页，但5⃣️条人歌名 ​​,深圳市,2024-02-25,Andyouneedtoknow,92,13,0.0,105.0
12081,"#宗庆后曾三度问鼎首富#娃哈哈创始人宗庆后逝世，一代商业枭雄落幕。 

#宗庆后生平回顾#",深圳市,2024-02-25,新行情,83,22,0.0,105.0
20336,"兄弟们，奖品『Note 13 Pro 新春版』好运红已经就位了！

明天开奖，话说大家都准备好了吗？

详情请戳：http://t.cn/A6YXqIBq

#新年礼物##王一博的Note13##转发抽奖# @Redmi红米手机 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 深圳 ​​",深圳市,2024-02-28,揭阳大雨,5,96,0.0,101.0
27463,"点👍🏻+评论抽5个宝打钱

可盐可甜的棒球服外套！pu皮质摸着软软糯糯的[awsl]上身so酷又很青春减龄[哈哈]

微overside版型，几乎不挑人，包容性杠杠滴[哇]遮肉显瘦➕防风防水好打理，一年四季都可穿！ ​ http://t.cn/A6YHvaiw",深圳市,2024-02-29,安利菌,6,87,0.0,93.0
12560,"贴一下近几年团体世乒赛的男子MVP
(昨天有樊星问这个)

＊2012年之前的不太能查到确切的颁发信息
    只查到2008年广州·王皓",深圳市,2024-02-26,布丨一,28,53,0.0,81.0
11437,原来是这样取出来的，看完后舒服多了… http://t.cn/A6Y0G5nO ​​,深圳市,2024-02-24,深圳张逸轩,48,32,0.0,80.0
