,content,city,date,id,n_repost,n_comment,n_like,influency
14104,"近日，杭州高架桥上的宾利车主施暴事件引发社会广泛关注。在众多旁观者中，一位名叫孙子见的律师勇敢地站出来劝阻，他的行为不仅及时阻止了事态的恶化，也赢得了广大网友的赞誉。这位律师的英勇行为不仅展现了他的正义感，更是给社会树立了一个积极的榜样。

据报道，孙子见律师在事件发生当天，开车去见客户途中，目睹了事件的经过。他没有选择袖手旁观，而是立即停车，上前劝阻宾利车主。他的行为无疑显示了他的勇气和正义感，也反映了他对社会问题的关注和责任感。

值得一提的是，孙子见律师驾驶的是比亚迪汉。这一信息在新闻报道后被广大网友所知，也引起了比亚迪公司的关注。为了鼓励更多的人效仿孙子见律师的正能量行为，比亚迪公司决定给予孙子见律师20万元的奖金，并给他的车终身免费保养。这一举措无疑是对孙子见律师行为的肯定，也是对所有有正义感的人的鼓励。

这一事件不仅展示了孙子见律师的个人品质，也反映了社会对于正义和良知的呼唤。在这个时代，我们需要更多的人像孙子见律师一样，勇敢地站出来维护正义，传递正能量。而比亚迪宣布奖励车主20万元，也可以看出比亚迪是一个具有社会责任感的品牌，通过车主日常的见义勇为，传播着友好、积极、向上的价值观。

其实比亚迪车主的义举随处可见，比如之前刷爆短视频平台的一则新闻我记忆犹新：一位老婆婆过马路的时候不慎摔倒在人行道上，这时一位驾驶着比亚迪汽车的空军某旅小哥立即下车抱起老婆婆走向路边，并送往医院进行救治；

又比如去年郑州大水，比亚迪车主们纷纷挺身而出，利用自家车辆作为超大充电宝，义务为断电群众手机充电，协助求救信息及时传播出去，他们更是将自己的车辆用于救灾物资的运输，大灾面前，车主们的无私善举真是让人点赞不已。

据说比亚迪目前正在考虑设立”比亚迪车主正能量及见义勇为奖“，来给那些见义勇为的车主们切切实实的经济支持，这也正是比亚迪作为新能源汽车龙头企业的担当，希望通过此事，能激发更多人的社会责任感和正义感，共同营造一个更加和谐、公正的社会环境。#比亚迪宣布奖励车主20万元#",清远市,2024-02-26,摄影师arkey007,33,83,0.0,116.0
25708,"#我的快乐源泉[超话]##清远洲心街一中一学生坠楼##洲心一中坠楼事件##李睿涵坠楼事件# 
妈人们顶顶！🙏🙏🙏 ​​",清远市,2024-02-28,S2LINA,0,5,0.0,5.0
10611,"不要否认人工智能AI革命，广汽埃安总经理古惠南表示要在2025年实现L4自动驾驶水平。
很多人还是低估人工智能革命，虽然资本市场在Sora出来后起哄，但人工智能革命在汽车领域应用，是实打实的！

搞笑的是，越是非IT行业的人士，越贬低人工智能革命。反是搞电子、自动化开发的，才知道人工智能的厉害。
身边还有好多油车粉，还在一个劲贬低电动汽车革命，说我油车够用，还能开几十年。
同诺基亚时代，我功能机能打电话和发信息，换什么智能手机一样。
根本不理解汽车就是网络这句话。

只不过电动汽车替代油车，时间没有手机那么快而已。毕竟耐用消费品，十年八年换。
八年之后，油车不会灭亡，但沦落为小众产品了。
同传音手机一样，一度在非洲大卖二三百块的功能机，也能活下来。可卖着卖着，传音主力，也变成了智能手机，只不过是低端智能产品而已。",清远市,2024-02-23,A股中短线大师,0,2,0.0,2.0
10629,"不要否认人工智能AI革命，广汽埃安总经理古惠南表示要在2025年实现L4自动驾驶水平。
很多人还是低估人工智能革命，虽然资本市场在Sora出来后起哄，但人工智能革命在汽车领域应用，是实打实的！

搞笑的是，越是非IT行业的人士，越贬低人工智能革命。反是搞电子、自动化开发的，才知道人工智能的厉害。
身边还有好多油车粉，还在一个劲贬低电动汽车革命，说我油车够用，还能开几十年。
同诺基亚时代，我功能机能打电话和发信息，换什么智能手机一样。
根本不理解汽车就是网络这句话。

只不过电动汽车替代油车，时间没有手机那么快而已。毕竟耐用消费品，十年八年换。
八年之后，油车不会灭亡，但沦落为小众产品了。
同传音手机一样，一度在非洲大卖二三百块的功能机，也能活下来。可卖着卖着，传音主力，也变成了智能手机，只不过是低端智能产品而已。",清远市,2024-02-23,巴索说投资,0,2,0.0,2.0
24375,"#清远洲心街一中一学生坠楼##洲心一中坠楼事件##还我女儿一个公道# 
我女儿李睿涵，在清远市洲心第一中学九3班，在2月25日19点04分进入学校，于19时12分从教学楼5楼不明原因坠落身亡，老师明知道我女儿身亡了，而是老师在7点28分到7点36分钟分别多次告诉我，说我女儿一直没有回学校，却没有第一时间通知我，而是选择隐瞒真相，一再强调我女儿没有回学校，我自己心里感觉心慌慌的就去学校看看如何，一去才知道警察已经在，校方却不给我进学校，经过我的不断的说话，不断的打电话给班主任，一直没有接我电话，我执意要求进去，结果当我去到教室楼下的时候，第一感觉到我女儿已出事了，已经躺在冰冷冷的水泥地上，然后就受到学校各种阻拦各种隐瞒事实还我女儿恳求各部门主持公道！#还我女儿一个公道 #洲心第一中学##李睿涵坠楼事件#",清远市,2024-02-28,S2LINA,0,1,0.0,1.0
23116,"#boystory[超话]# 🐟#泽宇[超话]# 
广州站巡演-游戏随舞《Nobody》cut http://t.cn/A6YYZ1fr ​​",清远市,2024-02-28,-FOREVER-boss,1,0,0.0,1.0
27563,"做民宿就是这样
外表光鲜 山水田园诗与远方
其实每天都有做不完的事情.
难得闲下来几天.
好好享受吧… <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 清远·云栖陌野度假酒店 http://t.cn/A6YH4li5 ​​",清远市,2024-02-29,云栖陌野,0,1,0.0,1.0
1560,【直播 | #2024广东省高质量发展大会# 】2月18日上午9：30，广东省委、省政府在深圳召开全省高质量发展大会。敬请关注！ ￼深圳特区报的微博直播 ￼2024广东省高质量发展大会 ​​,清远市,2024-02-18,用户030329,0,1,0.0,1.0
15301,f//@·吸妮患者·:#李斯丹妮2024巡演官宣# 狠狠期待了[憧憬]#李斯丹妮广州演唱会#,清远市,2024-02-27,o芝士旺旺碎o,0,0,0.0,0.0
3805,#开工第一天精神状态话题##2024广东省高质量发展大会# http://t.cn/A6YaPGFb ​​,清远市,2024-02-18,用户7868729557,0,0,0.0,0.0
