,content,city,date,id,n_repost,n_comment,n_like,influency
28137,"#肖战[超话]##肖战# [爱你]#肖战粉丝的229之约# 
家书抵万金[亲亲]，
还会陪你很多很多年[哇]，
很多很多个2月29日[彩虹屁]，
2024步履不停继续迎风奔跑，
去到你任何想去的地方，
小飞侠跟得上[龙卷风]！
祝肖先生在新的一年，
继续顺风顺水顺财神！
扶援直上，万事无忌！
万事胜意，前程似福！
有所爱亦被满满的爱意包围，
永远自由，永远可以做自己，
世界辽阔，你永远闪闪发光🌟！
@X玖少年团肖战DAYTOY 
#肖战我喜欢你# [龙卷风]#﻿肖战顺顺利利#",湛江市,2024-02-29,霞菲菲DAYTOY,0,212,0.0,212.0
14678,"《猎冰》张颂文的原型有三个老婆，有两儿两女四个孩子，他第一个老婆是老师，在他案发后心灰意冷、剃度出家，至今下落不明。

1、原型人物是个化学天才，获得过福建省中学生化学比赛二等奖。高二那年，他因家庭贫困而选择了辍学。

2、1983年冬，他到福建省平潭县当了一名武警战士，两年后考上了警校，1987年毕业后成了平潭武警大队的一名排级司务长。

3、他从小家贫，因此对挣钱的欲望强大，而排级司务长不足百元的工资，让他看不到前途，于是他就故意犯错（贪污了145元伙食费）背着一个处分转业了。

4、1989年，他转业安置到福建省福安市人民法院当法警，期间立过三等功，并和第一任妻子相识、结婚、生子。

5、1991年是个转折点，他被借调到福安市外贸部门负责招商引资，这期间认识了很多台湾来的生意人，期间了解到了那个肮脏的发财生意，于是他的化学开始变现。

6、1996年，原型人物被通缉，第一任妻子剃秃出家。他在逃亡期间又找了第二任妻子，并且生育了一个女儿。

7、1998年，原型人物担心牵连妻子孩子，就在广州登报宣布和第二任妻子离婚，没多久又认识了第三任妻子李晓青，俩人生育了一个儿子和一个女儿。

8、原型人物刘招华于2005年被执行死刑，他的第三任妻子因为包庇罪也坐了牢。

在注射死刑时，刘招华选择的安乐音乐《我不是一只羊》，几分钟后，他彻底闭上了那双罪恶的双眼。",湛江市,2024-02-27,娱闻蜀黍,31,37,0.0,68.0
14278,"《南来北往》终于大结局了，还好，没有烂尾！

1.原本以为贾金龙有可能会在汪新的劝说下自首，或者是负隅顽抗，牺牲或受伤的会是汪新，没想到老马牺牲了，贾金龙马叔马叔叫得亲热，狠起来却是毫不手软。

老马这一生历经波折，蒙冤入狱十年不说，眼看过两年就要退休了，没想到却牺牲了。

2.碎尸案一直拖到2017年才破，时间跨度长达30余年，最终还是靠科技破了案，没想到凶手居然是被认为已经被杀害的丁贵安，不过稍为有点遗憾的是略显仓促，这条线其实可有可无，对剧情似乎没多大影响。

3.1996年贾金龙被抓之后，以他贩毒和杀害老马的罪行来看肯定是死刑，姚玉玲孤儿寡母她也没有再嫁，而是一个人摆摊抚养儿子长大，只是没想到的是会遇到从深圳回老家宁阳游玩的牛大力，现在的牛大力身价不菲，也已经娶妻生子，物是人非，不知道姚玉玲会不会后悔当初的选择。

4.老瞎子最终还是没能找到女儿朵儿，听了马魁的安排进了养老院安度晚年。

5.沈大夫沈姨也来了，她和马魁最终还是有缘无份。",湛江市,2024-02-26,娱闻蜀黍,26,39,0.0,65.0
20431,迪丽热巴给胡先煦宣传新剧，而网友拿林臻东角色开始磕cp了，好好的一个宣传被搞成这样…,湛江市,2024-02-28,王牌教父,25,38,0.0,63.0
16430,#小孩姐吃茶树菇吃出表情包# 2月25日广东，小孩姐为了吃一根茶树菇吃出表情包，小孩姐：就算是钢筋今天你也得给我断！ #新年开学真有一套#,湛江市,2024-02-27,我在粤港澳生活,22,19,0.0,41.0
24441,#爸爸穿西装出席女儿18岁成人礼# 2月25日，广东，女儿的十八岁成人礼，爸爸穿上了他觉得最体面的衣服。#我的元气假期##新年开学真有一套# http://t.cn/A6YYWRWD ​​,湛江市,2024-02-28,我在粤港澳生活,21,18,0.0,39.0
17645,#第五人格[超话]#打吊五打住院了宝友们也注意点吧[允悲]上分诚可贵生命价更高 ​​,湛江市,2024-02-27,小觊觎w,0,26,0.0,26.0
11256,"元宵节快乐🏮🏮🏮
回家穿着毛衣在外面到处跑 一回广东就发烧感冒肠胃炎过敏[疑问] 中午还在说成年人做自己的医生 下午就马不停蹄去医院[拜拜]脖子肿成这样我和这个地方真没什么适配度[挤眼]
卷毛精上班第一周 棉花糖☁️真好看[馋嘴]
小孩儿真是越大越可爱呜呜呜呜呜呜呜好可爱啊好想贴贴 每一张贴贴的合照都动如脱兔[亲亲]
烤一点我吃一点东吃一口西吃一口露营好幸福看小孩儿也好幸福呜呜🥹
这一周上班还是很放松的有一些事情自己可以处理好 慢慢慢慢发展下去啵[挤眼]
只能说命运真的很神奇
天大地大 总要有些奖励吧[彩虹屁]",湛江市,2024-02-24,TornSign减肥版,0,17,0.0,17.0
30282,"该死的刘海[摊手][跪了]啊啊啊没拍到好看的照片[伤心] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 湛江·渔港公园 ​​",湛江市,2024-02-29,如果能lucky,0,7,0.0,7.0
11427,#深圳大学考研[超话]#25考研，蹲蹲一个工商管理考研上岸的学长学姐 ​ ​​,湛江市,2024-02-24,用户7833990683,0,7,0.0,7.0
