,content,city,date,id,n_repost,n_comment,n_like,influency
12090,"今天跟小周当了热心市民
看到有人放烟花误燃路边杂草
我们第一时间加入灭火中
灭不掉就打了119
消防叔叔来了直夸我们好好好
真是难忘的一天[喵喵] ​​",潮州市,2024-02-25,是一直CC,0,9,0.0,9.0
12174,"简短的记录
P6是南肆老师给我写的[给你小心心]
期待下一次见面",潮州市,2024-02-25,芋圆半糖面包,0,8,0.0,8.0
10868,好好好 失败是成功之母 行行行我是他妈[融化] ​​,潮州市,2024-02-24,爱吃桃的兔崽,1,4,0.0,5.0
11499,笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈趴到的🐟🐟 ​​,潮州市,2024-02-24,溏心蛋梅梅伴月园,0,5,0.0,5.0
11969,#荣耀茶话会[超话]# 啊这条被吞了吗 ​​,潮州市,2024-02-25,临泪绪,0,4,0.0,4.0
19072,"#‍檀健次被我弄丢的你# tjc#檀健次白晓宇# 
【2.28】健次螺蛳粉的日常任务～ ​",潮州市,2024-02-28,健次今天吃螺蛳粉了吗,0,2,0.0,2.0
3054,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6Ya73cg ​​,潮州市,2024-02-18,临风SK,1,1,0.0,2.0
22251,"#全员加速中# ⭐#蒲熠星# 
吃饭、美食就是生活啊[抱一抱][抱一抱]广东的美食真的很多很多！有时间可以来潮汕吃吃喝喝[打call][打call]#蒲熠星好吃到融化了# ​​",潮州市,2024-02-28,504号·星旅者,0,2,0.0,2.0
27729,"《星云纪事》
星期二晚上，班长在班群喊了几个人星期三去升旗，还好没叫到我，然后星期三早上刚准备上课，就发通知说老师生病了，不用上课了，所以星期三早上就没课了[哇]

十八夜一直在dy刷外婆家的“琵琶安”

星期三下午的应用写作，感觉像是水课一样[困]然后接着是物联网，好好好，今年全都要让我们自己带电脑过去（老师还没来之前把游戏都登陆一下[doge]）

星期四早上差点起不来，四节课微信小程序[拜拜]人真的要亖

下午劳动教育暂时不用上，爽歪歪

ARM听不懂一点都听不懂[困][裂开]

不是，锣鼓队负责人，你什么时候给我们发红包[苦涩][泪][doge]

大王爷大夫人，二王爷二夫人，三王爷三夫人保号明天下午六点抢到深圳场的票，然后顺顺利利跟小银子换到广州场的[开学季][老师好][并不简单]",潮州市,2024-02-29,星云梦空,0,2,0.0,2.0
5350,#2024广东省高质量发展大会# http://t.cn/A6Ya7BAe ​​,潮州市,2024-02-18,临风SK,1,1,0.0,2.0
1672,《#2024广东省高质量发展大会#》有事搜一搜，没事看一看http://t.cn/A6Ya9WjI ​​,潮州市,2024-02-18,用户7899792847,1,1,0.0,2.0
30157,"重新出发 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 潮州·潮州西湖 ​​",潮州市,2024-02-29,曾梓航Zzh,0,1,0.0,1.0
28885,"[飞机]到达潮州[全力以赴] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 潮州·牌坊街 ​​",潮州市,2024-02-29,5年再回首-,0,1,0.0,1.0
11144,潮州拜拜 爸爸妈妈姐姐拜拜 朋友家人们拜拜 甘草拜拜 酸菜鱼拜拜 鱼生拜拜 红桃粿拜拜 油锅春饼拜拜 牛肉火锅拜拜 鹅肉拜拜 想不出来了 都拜拜 谢狄航哈喽 傻逼学校不哈喽 ​​,潮州市,2024-02-24,陳於璿,0,1,0.0,1.0
16303,"分享视频 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 潮州 http://t.cn/A6YlScHq ​​",潮州市,2024-02-27,cjwdmsnhhhh,0,1,0.0,1.0
12933,"烟花看了
妈祖营了
圣杯有了
英歌看了 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 潮州 ​​",潮州市,2024-02-26,xxxxruyan,0,1,0.0,1.0
12012,"住五星级酒店，早餐吃泡面。应该不会犯法吧 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 潮州·潮州腾瑞皇冠假日酒店 ​​",潮州市,2024-02-25,-Ca1J1P9,0,1,0.0,1.0
5802,#2024广东省高质量发展大会# http://t.cn/A6Yay74r ​​,潮州市,2024-02-18,手机用户2093205261,0,1,0.0,1.0
11154,"又是一年元宵节🏮 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 潮州 http://t.cn/A6Y0s5CE ​​",潮州市,2024-02-24,冰冰是我__,0,1,0.0,1.0
2808,#2024广东省高质量发展大会# http://t.cn/A6YalyKY ​​,潮州市,2024-02-18,用户7888577682,0,1,0.0,1.0
