,content,city,date,id,n_repost,n_comment,n_like,influency
11646,"眼里都是你！
[打call][打call][打call]#小帅Craft[超话]# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海·珠海信息港 ​​",珠海市,2024-02-25,小帅Craft,0,34,0.0,34.0
24310,"#张凌赫# 老公真的很好，特意坐过来这边打招呼[心] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海·珠海金湾机场 http://t.cn/A6YYM7T7 ​​",珠海市,2024-02-28,哞哞历险记丨一天不翻牌就不睡版,2,28,0.0,30.0
16053,"#饭圈扩关[超话]#🈷️点布蕾宋亚轩刘耀文的 

蕾区👇🏻 ​​",珠海市,2024-02-27,豆乳绵绵卷T_T,0,30,0.0,30.0
11793,"#比亚迪宣布奖励车主20万元#这个事情引起了很好的社会反向，我们比亚迪车友群里都在讨论，比亚迪车主也感觉比亚迪做的很棒，以后走路可以横着走了，因为骄傲[嘻嘻]

宾利和宝马打架，比亚迪劝架，比亚迪车主这回排面拉满！#比亚迪车主劝架# ​​",珠海市,2024-02-25,科技圣斗士,11,15,0.0,26.0
11630,"善雅斗门一一乾务镇新村村油菜花海

      我们告别格桑花海后直奔新村村油菜花海。相比往年赏花活动，此次油菜花旅游嘉年华规模做得更大、形式更加多样、内容更加丰富、特色更加鲜明，既有全市非遗文化展示、千亩花海采风游玩，又有亲子农事采摘体验、地方美食尝鲜品味，既有乡村集市、农贸集市、文创集市等主题集市，还有舞龙巡游、研学手作体验等各式活动，随处可见游客拍照打卡。

      活动现场，不乏港澳游客的身影。他们之中，有不少选择从香港、澳门自驾前来赏花游玩。来斗门赏花海、品美食。

      新村村有1035亩高标准农田。自2015年起，通过“水稻—油菜花轮作”模式种植油菜花、格桑花等稻底花菜，并将连片种植的稻底花菜花期控制在春节期间，打造珠海面积最大、规模最集中的油菜花田。自从开展油菜花赏花活动以来，不仅提升了乡村风貌，还推动了村民增收致富。近两年，新村村油菜花田累计接待游客80万人次，带动消费500万元。

      作为全国休闲农业与乡村旅游示范区，斗门区依托好山好水、田园风光、乡土文化等特有文旅资源，持续放大生态优势，挖掘更多乡村旅游产品，打造出一批民俗游、红色游、乡村游等特色精品路线，让斗门成为农文旅融合和生态旅游的好去处。

     乾务镇新村村将以办好此次油菜花嘉年华为契机，以头号工程的势头和力度推动“百千万工程”，深化园镇联动一体化发展，加快农村一二三产业融合发展，促进农业增效、农村增色、农民增收。 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海·珠海斗门",珠海市,2024-02-25,用户若尘6776065651,1,18,0.0,19.0
10765,"#明日方舟[超话]##塞赫##漫展场照##淬羽赫默##塞雷娅cos##cosplay##元旦广州萤火虫# 

「未来の道まだまだ先は長いので，一緒に歩かなければなりません。」

塞雷娅@以豹治饼 
淬羽赫默（原po）
📷@妹摄虾虾 

祝各位元宵节快乐[给你小心心] ​​",珠海市,2024-02-24,木风凌_Maple,8,8,0.0,16.0
14608,"去走走 去记录 去感受 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海 ​​",珠海市,2024-02-27,是你诚阿,0,9,0.0,9.0
13749,"快夸夸[鲜花][鲜花]
今天难得做饭了
[哇][哇][哇][哇][哇][哇] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海·暨南大学 ​​",珠海市,2024-02-26,嘎嘎尧up,0,7,0.0,7.0
17191,"#地缚少年花子君[超话]#
更新余量
拼拼，已切，已建个小群，包国际不包国内，囤我这（广东） ​​",珠海市,2024-02-27,candy-凯三岁,0,7,0.0,7.0
17118,"#陈楚生[超话]#没事多看看帅气的生哥，距离上次见到的生哥是茂名音乐节，仿佛是在昨天一样，见了还想再见。穿黄衣服的生哥好帅[鼓掌][鼓掌][鼓掌][心][心][心] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海 ​​",珠海市,2024-02-27,醉枫染墨ccs,0,6,0.0,6.0
