,content,city,date,id,n_repost,n_comment,n_like,influency
12084,"#最高人民法院 最高人民检察院 公安部 司法部 关于依法严厉打击黑恶势力违法犯罪的通告# 
中国，既然出台法律，法规。政府点解又不依法，依规。地方政府，反而带头违法，违规。包庇党组书记，检察长。卢灿雄，执法，违法。充当黑恶势力，保护伞伤害人民的合法权益。是地方政府腐败。纵容黑恶势力，侵占农民承包土地种果，特派党组书记，检察长，卢灿雄，充当黑恶势力保护伞，垆黑，保恶。伤害人民的合法权益。卢灿雄只能是地方政府的狗，无主人指辉，卢灿雄会涉黑，涉恶吗？会借助地方政府的手。破坏农业，破坏农村土地承包法，破坏农民依法种粮生产罪，会违法，违规。维护黒恶势力王建行侵占我承包土地种果充当保护伞，违反国家农村土地承包法。政府点解不维护国家的法律，法规。不维护社会会稳定，不维护社会稳定，不依法，依规不维护人民的合法权。就是不维护公平，公正。",肇庆市,2024-02-25,用户6592678091,17,2,0.0,19.0
24857,"#seventeen中转站[超话]#
nanatour拼车！
新车！空位多多！不调价！10.6/set！拼不齐热位带！车主坐标广东！欢迎宝子们上车！ ​​",肇庆市,2024-02-28,凉砸-,0,15,0.0,15.0
11778,"寻找光照的方向 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 肇庆 ​​",肇庆市,2024-02-25,春日绒蓝,0,10,0.0,10.0
26513,"起诉莫言这件事最近闹得沸沸扬扬，某些大v纷纷为莫言站台，最织极的莫过于老胡了。大家是怎么看待莫言这个人的？
莫言村民：他们及附近村没有挨过饿，更没有人吃过树皮……

台湾同胞：莫言的书把中国人描绘得过于丑陋，让人不能接受……

莫言已被踢出中国百年名作家之列。

#胡锡进称起诉莫言者是在扣帽子断章取义#",肇庆市,2024-02-29,mj微风,3,6,0.0,9.0
10621,#广东省专插本[超话]# 四道题 ​​,肇庆市,2024-02-23,landonoo,0,6,0.0,6.0
10965,"今年的元宵好有氛围
又是一个快乐年[锦鲤附体]开心就好！ ​​",肇庆市,2024-02-24,llloml,0,5,0.0,5.0
17445,"Back to the street
#街拍##OOTD# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 深圳·华侨城创意文化园 ​​",肇庆市,2024-02-27,-劉师傅_,0,4,0.0,4.0
11941,蹲个学习搭子[单身狗]#学习##双向奔赴的学习搭子# ​​,肇庆市,2024-02-25,星星夹在书页间,0,3,0.0,3.0
13875,中通 祝你早日倒闭吧我只能说 每一个丢的快递都是你…🙏 ​​,肇庆市,2024-02-26,iamnotfish,0,3,0.0,3.0
6465,《广东省高质量发展大会18日召开_广州日报大洋网》岭南春早，人勤春更早。广东在春节假期后的首个工作日即吹响高质量发展的号角。2月18日上午9:30，广东省委、省政府在深圳召开全省高质量发展大会。http://t.cn/A6Y6dIQq ​​,肇庆市,2024-02-18,轻风云淡kk,0,3,0.0,3.0
15262,"网友发现“山海皆可平”行踪，已报警。

据悉：“山海皆可平”是个榜一大哥，此人涉全国首例：通过打赏主播x钱案。该案涉及众多YY网红，王冕，毕加索，老李等知名网红。 ​​",肇庆市,2024-02-27,岩少徒弟,0,1,0.0,1.0
29301,"完成任务
赏多碗云吞面就打道回府 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 肇庆·肇庆市委党校",肇庆市,2024-02-29,Kialen_ne,0,1,0.0,1.0
29890,"开个会 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 肇庆·肇庆新区商务中心 ​​",肇庆市,2024-02-29,大胡子,0,1,0.0,1.0
10606,"端州区百千万工程捐赠暨2023度纳税百强表彰大会，我司荣获奖牌[打call] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 肇庆 ​​",肇庆市,2024-02-23,杰-哥Jacky,0,1,0.0,1.0
2935,<metacharset#360浏览器#http://t.cn/A6YamJ6W,肇庆市,2024-02-18,杰杰杰199311,0,0,0.0,0.0
21013,根据预算，买翡翠不要冲动消费#生活中被过度包装的商品#一次理智消费的经历##你有哪些被网红影响却被坑骗的消费经历？#肇庆·四会玉博城[地点]# http://t.cn/A6YY9qJT ​​,肇庆市,2024-02-28,珠宝人秋秋,0,0,0.0,0.0
7112,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！@小米浏览器 | http://t.cn/A6YaDRZK ​​",肇庆市,2024-02-19,逍遥自在9080,0,0,0.0,0.0
2640,广东“新春第一会”开幕！聚焦产业与科技互促双强@QQ浏览器 http://t.cn/A6YaRqL5 ​​,肇庆市,2024-02-18,不会打鱼的那些日子,0,0,0.0,0.0
24934,我准备好啦！ 我准备好啦！ 我准备好啦！@MIC池约翰CJ #池约翰[超话]#,肇庆市,2024-02-28,猪小猪EVELYN,0,0,0.0,0.0
3960,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YX1j8R ​​,肇庆市,2024-02-18,zhq190143355,0,0,0.0,0.0
17344,"2.27
让这无奈不安画上句号
⚖️200
微指1个 ​​",肇庆市,2024-02-27,让这无奈不安画上句号,0,0,0.0,0.0
4821,广东“新春第一会”开幕！聚焦产业与科技互促双强#360浏览器#http://t.cn/A6YamqJV ​​,肇庆市,2024-02-18,杰杰杰199311,0,0,0.0,0.0
1312,#2024广东省高质量发展大会# http://t.cn/A6YafhXo ​​,肇庆市,2024-02-18,selina彩虹,0,0,0.0,0.0
1622,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YanUjL ​​,肇庆市,2024-02-18,用户6198197733,0,0,0.0,0.0
5075,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXs0V1 ​​,肇庆市,2024-02-18,用户6867518476,0,0,0.0,0.0
2606,#2024广东省高质量发展大会# http://t.cn/A6YaKypN ​​,肇庆市,2024-02-18,熬夜秃头建议通宵,0,0,0.0,0.0
