,content,city,date,id,n_repost,n_comment,n_like,influency
11313,明天返校 … 不想上课 … ​​,阳江市,2024-02-24,粥粥大王请睡,0,55,0.0,55.0
11018,#白年好赫[超话]#jw近视度数竟然和我一样[偷乐] ​​,阳江市,2024-02-24,只爱小小恶魔,0,41,0.0,41.0
18560,#黄老师被造黄谣网友喊话报警# 都什么年头了，虫🐛南还想通过造🟡谣和荡fu羞*辱来毁掉一名女性，让她社会性亖亡！下头🤮,阳江市,2024-02-28,旺仔公主驾到,2,16,0.0,18.0
11887,分享图片 ​​,阳江市,2024-02-25,可乐and坤,1,1,0.0,2.0
12107,忘了多久没看过外来媳妇本地郎了，没有当年那种感觉了，好多人都不在了#外来媳妇本地郎##追剧# ​​,阳江市,2024-02-25,元宝团子好杮朵朵,0,2,0.0,2.0
5537,#读懂高质量发展就读懂了新广东#、#高质量发展广东站C位#、#开年第一弹·智造业强省#发挥广东科技实力，推动高质量发展『黄坤明同志在广东省高质量发展大会上的讲话实录（2024）_南方+_南方plus』http://t.cn/A6YaANgo ​​,阳江市,2024-02-18,Jws榮,1,0,0.0,1.0
11643,"珠海👋 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 珠海",阳江市,2024-02-25,Laura小倩,0,1,0.0,1.0
783,读懂高质量发展就读懂新广东#2024广东省高质量发展大会# http://t.cn/A6Ya2hBH ​​,阳江市,2024-02-18,爱江山866,0,1,0.0,1.0
224,#2024广东省高质量发展大会# ​​,阳江市,2024-02-18,用户6156805250,0,0,0.0,0.0
538,《#2024广东省高质量发展大会#》有事搜一搜，没事看一看http://t.cn/A6Ya9FjV ​​,阳江市,2024-02-18,用户7833086440,0,0,0.0,0.0
656,<metacharset http://t.cn/A6Yax8lZ ​​,阳江市,2024-02-18,Titylin,0,0,0.0,0.0
685,"我分享了【#开年第一弹智造业强省#】, 快来看吧！ | http://t.cn/A6YaMUat ​​",阳江市,2024-02-18,卑鄙者的嗵行證,0,0,0.0,0.0
819,高质量发展广东站C位黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6Ya0gGd ​​,阳江市,2024-02-18,爱江山866,0,0,0.0,0.0
946,广东新春第一会，为什么聚焦这个主题？ http://t.cn/A6YXB5cj ​​,阳江市,2024-02-18,Jws榮,0,0,0.0,0.0
412,#高质量发展广东站C位#、#读懂高质量发展就读懂了新广东#、#开年第一弹智造业强省#『黄坤明同志在广东省高质量发展大会上的讲话实录（2024）_南方+_南方plus』http://t.cn/A6YaANgo ​​,阳江市,2024-02-18,山峦上的叶子,0,0,0.0,0.0
519,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6Ya6o7p ​​,阳江市,2024-02-18,l-atitude,0,0,0.0,0.0
451,微博@QQ浏览器 http://t.cn/A6YaIlWD ​​,阳江市,2024-02-18,丝瓜藤zlp,0,0,0.0,0.0
113,"我分享了【#开工第一天精神状态话题##2024广东省高质量发展大会#】, 快来看吧！@小米浏览器 | http://t.cn/A6Yah0pg ​​",阳江市,2024-02-18,用户7878836152,0,0,0.0,0.0
180,高质量发展广东站c位  <metacharset http://t.cn/A6YaAd3E ​​,阳江市,2024-02-18,爱江山866,0,0,0.0,0.0
213,#高质量发展广东站C位#、#读懂高质量发展就读懂了新广东#、#开年第一弹智造业强省#聚焦高质量发展『黄坤明同志在广东省高质量发展大会上的讲话实录（2024）_南方+_南方plus』http://t.cn/A6YaIILn ​​,阳江市,2024-02-18,梦伐花城,0,0,0.0,0.0
14,转发微博,阳江市,2024-02-09,尘墨124,0,0,0.0,0.0
1569,#高质量发展广东站C位#、#读懂高质量发展就读懂了新广东#、#开年第一弹智造业强省#读懂广东高质量『黄坤明同志在广东省高质量发展大会上的讲话实录（2024）_南方+_南方plus』http://t.cn/A6YaANgo ​​,阳江市,2024-02-18,醉里挑灯看瓜,0,0,0.0,0.0
1594,敬请关注，2024年广东省高质量发展大会  <metacharset http://t.cn/A6YaPu1J ​​,阳江市,2024-02-18,爱江山866,0,0,0.0,0.0
1637,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YaHtqG ​​,阳江市,2024-02-18,阳江Andy,0,0,0.0,0.0
1776,"我分享了【#2024广东省高质量发展大会#】, 快来看吧！ | http://t.cn/A6YaMiJ0 ​​",阳江市,2024-02-18,卑鄙者的嗵行證,0,0,0.0,0.0
1777,#高质量发展广东站C位#、#读懂高质量发展就读懂了新广东#、#开年第一弹智造业强省#『黄坤明同志在广东省高质量发展大会上的讲话实录（2024）_南方+_南方plus』http://t.cn/A6YaANgo ​​,阳江市,2024-02-18,卑鄙者的嗵行證,0,0,0.0,0.0
1801,2月18日，龙年首个工作日，广东省委、省政府将在深圳召开全省高质量发展大会新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXsa7G ​​,阳江市,2024-02-18,爱江山866,0,0,0.0,0.0
1908,"我分享了【新春第一会！广东省高质量发展大会18日召开】, 快来看吧！@小米浏览器 | http://t.cn/A6YXu0AQ ​​",阳江市,2024-02-18,AND2023,0,0,0.0,0.0
1933,"我分享了【新春第一会！广东省高质量发展大会18日召开】, 快来看吧！@小米浏览器 | http://t.cn/A6Yahz0N ​​",阳江市,2024-02-18,2014chase,0,0,0.0,0.0
2006,#开年第一弹智造业强省# http://t.cn/A6YaOtH1 ​​,阳江市,2024-02-18,爱江山866,0,0,0.0,0.0
2105,广东新春第一会，为什么聚焦这个主题？ http://t.cn/A6YXgkMS ​​,阳江市,2024-02-18,老谭a老谭,0,0,0.0,0.0
2172,黄坤明同志在广东省高质量发展大会上的讲话实录（2024） http://t.cn/A6YandTd ​​,阳江市,2024-02-18,HhenF,0,0,0.0,0.0
2179,微博@QQ浏览器 http://t.cn/A6YavCcf ​​,阳江市,2024-02-18,guantianzhou,0,0,0.0,0.0
2276,"我分享了【#开年第一弹智造业强省#】, 快来看吧！ | http://t.cn/A6YaMGjn ​​",阳江市,2024-02-18,卑鄙者的嗵行證,0,0,0.0,0.0
2286,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！ | http://t.cn/A6YaMIx8 ​​",阳江市,2024-02-18,卑鄙者的嗵行證,0,0,0.0,0.0
2320,"我分享了【黄坤明同志在广东省高质量发展大会上的讲话实录（2024）】, 快来看吧！@小米浏览器 | http://t.cn/A6YaR9Sp ​​",阳江市,2024-02-18,AND2023,0,0,0.0,0.0
2406,"我分享了【新春第一会！广东省高质量发展大会18日召开】, 快来看吧！@小米浏览器 | http://t.cn/A6YXeZ8R ​​",阳江市,2024-02-18,動禪機0o,0,0,0.0,0.0
2492,黄坤明同志在广东省高质量发展大会上的讲话实录（2024）http://t.cn/A6YacY9n #高质量发展广东站C位#、#读懂高质量发展就读懂了新广东#、#开年第一弹智造业强省# http://t.cn/A6YacY9n ​​,阳江市,2024-02-18,mi小桀201904,0,0,0.0,0.0
2493,#2024粤粤欲试# ​​,阳江市,2024-02-18,小鱼dandann,0,0,0.0,0.0
2511,微博@QQ浏览器 http://t.cn/A6YaPbWB ​​,阳江市,2024-02-18,guantianzhou,0,0,0.0,0.0
2552,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXgFfD,阳江市,2024-02-18,老谭a老谭,0,0,0.0,0.0
2660,#开年第一弹智造业强省# http://t.cn/A6YaxmBd ​​,阳江市,2024-02-18,Titylin,0,0,0.0,0.0
2668,http://t.cn/A6YX8uQx广东省高质量发展大会18日召开 ​​,阳江市,2024-02-18,用户7805403956,0,0,0.0,0.0
